47560374,珍藏 | 曼妙的音樂時光,"充满灵气的音符,滑过心头的尘埃,每一首歌都有一段动人心扉的故事……","['流行', '民谣', '乡村', '乡村']",[]
563582228,列夫托尔斯泰女士专属,"泰勒·斯威夫特的歌声
是失落时的鼓励
是犹豫时的决心
泰勒·斯威夫特的歌声
是悬崖边的缰绳
是窗户边的护栏
泰勒·斯威夫特的歌声
是荒海里的救生圈
是沙漠里的指南针
泰勒·斯威夫特
是那么正能量的存在
她的歌声
有生活
有热恋
有背叛
有诋毁
有反击
有爱情
有亲情
——Josheng","['流行', '乡村', '民谣', '乡村']","[2104074212, 2094995370, 2092283064, 2092283112, 2092285037, 2092285038, 2092285039, 2092285062, 2092285067, 2092285075, 2092285077, 2092285101, 2092283217, 2092283224, 2092283230, 2092283303, 2092283322, 2092285247, 2092285259, 2092285270, 2092285302, 2092285325, 2092285359, 2031034480, 2092165233, 2059790268, 2059790297, 2059790317, 2059793928, 2059793938, 2059790508, 2059793961, 2059790519, 2059790521, 2059790524, 2059790531, 2059790533, 2059790558, 2059790562, 2059790563, 2059790567, 2059790576, 2059794021, 2059790586, 2059790595, 2059790597, 2059790598, 2050560270, 2050561749, 2050561748, 2026760160, 2026765803, 1991239979, 1991240680, 1991240681, 1991239980, 1991240682, 1991239981, 1991239982, 1990192689, 1990192692, 1990192694, 1990192705, 1990191997, 1990192000, 1990192006, 1990192720, 1990192722, 1990192724, 1990192725, 1990192728, 1990192019, 1958624724, 1919029404, 1891454307, 1891454308, 1891454314, 1891454316, 1891454317, 1891454320, 1891456099, 1891456102, 1891454326, 1891454328, 1891456109, 1891454332, 1891454347, 1891456123, 1891454351, 1891454353, 1891456126, 1891454354, 1891454356, 1891454357, 1891454371, 1891456136, 1891456138, 1891454375, 1891456141, 1891454393, 1891454385, 1891456145, 1891454388, 1891456146, 2001459, 1863673018, 1858083996, 1832431765, 1832419318, 1832431769, 1832428071, 1832431773, 1832431780, 1832431782, 1832428075, 1832428078, 1832428089, 1832428096, 1832428099, 1832431810, 1832431813, 1832431815, 1832428107, 1832431828, 1832431829, 1832428122, 1832581492, 1832428129, 1832431862, 1832428134, 1832431870, 1832431882, 1832563168, 1821466007, 1819857342, 1810009762, 1810009779, 27153489, 1804793856, 1804561443, 1804056063, 1803546869, 1803546393, 1803546394, 1803546395, 1803546870, 1803546871, 1803546872, 1803546873, 1803546396, 1803546874, 1803546397, 1803546875, 1803546398, 1803546399, 1803546400, 1480300952, 1471998613, 1466803045, 1465111714, 1465114419, 1465114457, 1465114465, 1465114469, 1465111904, 1465114488, 1465111917, 1465114509, 1465114515, 1465114561, 1465111966, 1465114564, 1465111971, 1465111983, 1465111994, 32102397, 25787223, 27583473, 19292846, 19292840, 26896127, 2002411, 19293015, 1446769525, 1424213633, 25787216, 1343458286, 1419789491, 1340520626, 1407950330, 1406003612, 1403741713, 1403250178, 416531602, 1382572453, 1382576173, 1382778514, 1382781100, 1382778829, 1382781397, 1382781399, 1382781417, 1382778878, 1382781434, 1382781444, 1382781478, 1382781502, 1382778973, 1382781546, 1382781549, 1382790037, 1382781566, 1379807750, 1371516984, 29572561, 538871114, 1361348080, 2002449, 19292820, 19292982, 19292983, 19292985, 19292986, 19292988, 19292989, 19292990, 19292991, 19292992, 19292993, 19292994, 2002351, 19292808, 19292806, 19292814, 19293014, 26221035, 19292804, 16854326, 19292987, 25787232, 445666472, 19292984, 25787233, 2001444, 25787231, 25787219, 29561031, 29572501, 29572502, 29498911, 29572503, 29561033, 29572504, 29572505, 29572506, 29572507, 29572508, 29572509, 29572510, 29572511, 29572512, 29572513, 554200219, 2001472, 2001803, 516823324, 16509522, 2002329, 19292842, 19292812, 516827355, 516823325, 516818336, 516827356, 516818337, 516818338, 516823326, 516827357, 516819321, 516823327, 25787229, 19292862, 516776413, 514235010, 503207093, 501133611, 19292852, 25648017, 27867696, 1410775670]"
6632793111,久别重逢才是浪漫的开始,做自己的治愈者 和自己握手言和,"['流行', '乡村', '夜晚', '乡村']","[1965890511, 1391477429, 29850683, 25794009, 1970396862, 247936, 1456673752, 1971190557, 1413863166, 1975290447, 1927693793, 108931, 1426844352, 25638767, 1958150862, 1393659632, 1824045033, 1944518589, 1934251776, 1925452719, 1907766514, 1954420092, 1923184888, 1844449888, 1869248652, 1459935719, 1919147134, 1899989255, 25640409, 208891, 558290126, 1418131597, 1368754688, 25643327, 25642125, 573968818, 33497051, 507336695, 436346833, 1327566544, 442869201, 85569, 442867218, 191254, 1449416890, 1456659704, 1410647903, 1903035009, 1303027499, 1842728629, 1807381939, 1493083969, 1815389717, 1815105886, 1809100933, 31090820, 1808078153, 1833634254, 1404511131, 1397679310, 1882041535, 1896102097, 570340213, 1335942780, 1887917182, 1895330088, 1847975477, 488249475, 1880886636, 512376326, 1486264538, 354352, 1461319817, 1490342956, 1868943615, 1878620183, 1807799505, 1456890009, 1887139866, 37955044, 1886371886, 1822280895, 1900190434, 156008, 1860567964, 1899047747, 1901371647, 1412222520, 501467216, 1832582017, 1846489646, 1469005999, 1406686876, 1805088448, 1462488171, 1808492017, 1811921555, 1817469683, 1804320463, 1351520305, 1479706965, 1441758494, 35678875, 1385856956, 1389090775, 1814080666, 415086030, 1495058484, 1374489910, 186436, 1804879213, 1500569811, 1466643383, 1465313631, 427606780, 1498342485, 490595927, 1807537867, 479422828, 1401267982, 1500947433, 1490343020, 30780496, 1488737309, 442314990, 1397674264, 1484491896, 1443838552, 1481164987, 1459950258, 1456443773, 1363205817, 5253801, 523250334, 1401671455, 1435449062, 1403318151, 1386259535, 558071673, 2529472, 407679465, 108281, 165340, 1297802566, 1376140391, 1463168014, 30870608, 32957955, 207497, 27876900, 1449678888, 1376873330, 1306507078, 454069168, 1453907054, 1426649237, 167827, 405599470, 416892296, 426291544, 407450223, 402073807, 298213, 1449406576, 27955658, 276294, 28068737, 26625301, 28639182, 1411358329, 31654343, 1398663411, 2080139, 41500546, 4940920, 32835565, 32317208, 1303289043, 65766, 33206214, 536096151, 1436709403, 522510615, 463157222, 1387581250, 1380075991, 1344897943, 442869203, 1297742167, 190072, 493735012, 470057375, 465921195, 1417862046, 557581095, 2001320, 449577226, 569214250, 29761121, 35847388, 167882, 1417862065, 1433569777, 1434062381, 1376142151, 1392990601, 506196018, 426027293, 1338695683, 1308818967, 547976490, 523251118, 432509483, 471403427, 5260494, 413812448, 502043537, 1373236574, 86369, 536099160, 571074019, 461083054, 480580003, 418602088, 31356499, 515453363, 27901832, 483937795, 480353, 316654, 1431866827, 25706282, 355992, 1217823, 28907016, 505449407, 1696373, 157276, 1404885266, 454035505, 436487129, 41648129, 1413377028, 574919767, 97357, 1384026889, 1407551413, 316686, 525278524, 1382596189, 441491828, 1403215687, 1334363758, 1331593956, 29947420, 108179, 533245911, 27406244, 472361096, 1413142894, 1363948882, 28563317, 29567191, 1413304559, 1396973729, 509313150, 33937527, 36492599, 1491585, 1359356908, 461347998, 22712173, 38019092, 430685732, 1356350562, 1407358755, 118261, 1405283464, 545350938, 501133798, 386844, 3986017, 1408763442, 1409382131, 468176711, 25727803, 167876, 29850531, 1325896149, 1334295185, 1365393542, 1399533630, 1300994613, 579954, 479598964, 1370047789, 22212233, 19572270, 569213220, 31421442, 1400256289, 1335350269, 472045959, 3986241, 29814898, 287063, 1369798757, 1365898499, 31654478, 169185, 442314991, 224000, 1372796676, 557584658, 476513774, 470759757, 1391639224, 440208476, 27759600, 108390, 29004400, 168091, 440353010, 812400, 3932159, 26060065, 2740360, 26199445, 18161816, 36990266, 1365221826, 65538, 1346104327, 423228325, 425828457, 392605, 30953009, 1373228477, 1331819951, 63650, 38576323, 167975, 1341964346, 534540206, 1349292048, 586299, 26620756, 450451057, 571338083, 1315718569, 1345848098, 1336856777, 175072, 516728102, 541687281, 534542079, 504835560, 529668356, 405597568, 443875380, 1313107065, 26830207, 25718007, 1293886117, 526464145, 518686034, 1310906383, 496370620, 465920905, 518725853, 34229234, 407839677, 562594267, 29750825, 531295576, 496869422, 26524510, 536622304, 28018075, 460578140, 29722263, 553813030, 5240550, 557584888, 569214126, 513360721, 30987293, 30431376, 445546453, 480426313, 569213279, 254574, 445665094, 108478, 452986458, 5308028, 33911781, 406475394, 424264505, 526464293, 516076896, 551816010, 451703096, 133998, 1330348068, 4341314, 514761281, 521415426, 37653063, 513791211, 857896, 308353, 474922552, 35476049, 29567189, 29717271, 28263911, 33035611, 516657051, 3935139, 431357712, 2866921, 408814900, 474567580, 4017240, 19542337, 38592976, 499274178, 287035, 4153366, 401249910, 30394891, 421423806, 31445554, 2919622, 468513829, 32192436, 29759733, 28285910, 33162226, 202373, 33211676, 31654455, 27955653, 31445772, 436514312, 417833348, 139774, 412902950, 32507038, 1355147933, 411214279]"
4903607367,公路音乐（deleted）,漫随天外云卷云舒,"['摇滚', '乡村', '驾车', '乡村']","[5161843, 20000492, 26697486, 5153533, 26820773, 18698372, 27107308, 17250167, 34338818, 1301780342, 1491128887, 522701773, 21816557, 18641931, 27682876, 16870290, 20000547, 1142676, 21790687, 21000393, 1142657, 1149074, 26609781, 26873154, 21363247, 16852271, 5153478, 528864969, 1787695, 3598064, 26861377, 5153470, 19895086, 27709359, 26459609, 16349843, 19895040, 561244558, 16940657, 4338600, 1142653, 16350208, 22063691, 1468946603, 26979820, 529774984, 1697789, 18673944, 531530636, 35644955, 22223089, 5049633, 5049629, 27106527, 3625477, 5187059, 19078958, 537317689, 560545569, 26817679, 17096959, 1376165420, 26655581, 36664764, 1304893779, 31563140, 27770775, 22316791, 16350270, 20544928, 1142560, 1142457, 1471990613, 17146678, 5187410, 1349208507, 1477670, 24423817, 1349208505, 27264156, 20544889, 1868506, 22078173, 1374766773, 27770767, 27264185, 18828614, 33223329, 1549423, 28790407, 24250092, 18732439, 27198332, 34144578, 1098827, 22223522, 19019976, 3989341, 20706218, 1934799, 1868547, 22430272]"
8841717474,Taylor Swift专辑歌曲收录,收录了Taylor Swift至今14张专辑中的歌曲，适合专辑党听。曲序按照专辑和专辑的时间排列,"['欧美', '流行', '乡村', '乡村']","[2094488206, 2094488214, 2094490746, 2094488215, 2094488207, 2094488216, 2094488208, 2094490749, 2094490747, 2094488217, 2094488209, 2094490750, 2094488210, 2094490751, 2094488211, 2094488218, 2094490748, 2094490752, 2094488212, 2094490753, 2094488213, 2094488219, 2059790268, 2059790297, 2059790317, 2059793928, 2059793938, 2059790508, 2059793961, 2059790519, 2059790521, 2059790524, 2059790531, 2059790533, 2059790558, 2059790562, 2059790563, 2059790567, 2059790576, 2059794021, 2059790586, 2059790595, 2059790597, 2059790598, 2050561735, 2050560261, 2050561736, 2050560263, 2050560264, 2050560265, 2050561737, 2050561738, 2050561739, 2050561740, 2050561741, 2050560267, 2050561742, 2050561743, 2050561744, 2050561745, 2050560268, 2050561746, 2050561747, 2050560269, 2050561748, 2050561749, 2050560270, 1891454307, 1891454308, 1891454314, 1891454316, 1891454317, 1891454320, 1891456099, 1891456102, 1891454326, 1891454328, 1891456109, 1891454332, 1891454347, 1891456123, 1891454351, 1891454353, 1891456126, 1891454354, 1891454356, 1891454357, 1891454371, 1891456136, 1891456138, 1891454375, 1891456141, 1891454393, 1891454385, 1891456145, 1891454388, 1891456146, 1832431765, 1832419318, 1819857342, 1832431769, 1832428071, 1832431773, 1832431780, 1832431782, 1832428075, 1832428078, 1832428089, 1832428096, 1832428099, 1832431810, 1832431813, 1832431815, 1832428107, 1832431828, 1832431829, 1832428122, 1832581492, 1832428129, 1832431862, 1832428134, 1832431870, 1832431882, 1803546869, 1803546393, 1803546394, 1803546395, 1803546870, 1803546871, 1803546872, 1803546873, 1803546396, 1803546874, 1803546397, 1803546875, 1803546398, 1803546399, 1803546400, 1810009762, 1810009779, 1465111714, 1465114419, 1465114457, 1465114465, 1465114469, 1465111904, 1465114488, 1465111917, 1465114509, 1465114515, 1465114561, 1465111966, 1465114564, 1465111971, 1465111983, 1465111994, 1471998613, 1382572453, 1382576173, 1382778514, 1382781100, 1382778829, 1382781397, 1382781399, 1382781417, 1382778878, 1382781434, 1382781444, 1382781478, 1382781502, 1382778973, 1382781546, 1382781549, 1382790037, 1382781566, 1382781569, 1382790079, 503207093, 516823324, 516827355, 516823325, 516818336, 501133611, 516827356, 514235010, 516818337, 516818338, 516823326, 516827357, 516819321, 516776413, 516823327, 29561031, 29572501, 29572502, 29498911, 29572503, 29561033, 29572504, 29572505, 29572506, 29572507, 29572508, 29572509, 29572510, 29572511, 29572512, 29572513, 29572514, 29572516, 29572515, 25787215, 25787216, 25787217, 25787218, 25787219, 25787220, 25787221, 25787222, 25787223, 25787224, 25787225, 25787226, 25787227, 25787228, 25787229, 25787230, 25787231, 25787232, 25787233, 25787234, 25787235, 25787236, 19292836, 19292838, 19292840, 19292842, 19292845, 19292846, 19292849, 19292851, 19292852, 19292855, 19292856, 19292858, 19292860, 19292862, 28111293, 28111294, 28111295, 28111296, 28111298, 28111299, 28111300, 28111301, 26896127, 26896136, 26896116, 26896110, 26896131, 26896134, 26896113, 26896118, 26896129, 26896119, 26896137, 26896138, 26896111, 26896132, 26896139, 26896135, 26896121, 26896133, 26896114, 2002411, 2002416, 2002422, 2002426, 2002431, 2002436, 2002442, 2002445, 2002449, 2002452, 2002455, 2002459, 2002464, 2002469, 2002474]"
3091833530,C/ 高效率专注于华语音乐,,"['乡村', '乡村']","[156285, 5265278, 188261, 156720, 36392029, 247936, 1369044100, 1318235595, 469073823, 2079811643, 1467957338, 367895, 449577712, 34509586, 1429237296, 2067808217, 10308019, 2043126974, 2067807234, 190803, 441489610, 88885, 1991056669, 168141, 159967, 1336990251, 307898, 192702, 28838552, 2051833251, 212233, 458238990, 2041212293, 1438463558, 141336, 66898, 306877, 400579043, 450222691, 332064, 150421, 150470, 298101, 327096, 150633, 150474, 25642952, 1900998233, 25641873, 157360, 280045, 26608793, 191722, 191532, 150651, 280110, 1997438791, 27928273, 187322, 1438317650, 1979541942, 1457746857, 27955654, 64126, 1969822728, 1969333373, 1953696921, 78266, 66895, 117614, 1942691380, 25639007, 1938019501, 28427771, 25702070, 1320344416, 407002616, 1293886117, 27731174, 27733944, 479979440, 187966, 188674, 115131, 308299, 185638, 60154, 5258171, 543656128, 1475739400, 28892111, 1469005999, 25699027, 185921, 1411718813, 116496, 1873049720, 1407424616, 65800, 400581245, 25642687, 64752, 168018, 150623, 150667, 1371046568, 5247625, 26305549, 150408, 28283346, 108485, 1851344107, 108965, 5255325, 60238, 1396023850, 1377544581, 150520, 1483221816, 29794921, 82360, 40140636, 188657, 190545, 114037, 64377, 330107, 188989, 113610, 260109, 5239544, 33599439, 349981, 187368, 25638923, 329925, 167593, 1413374550, 543965046, 189396, 167597, 67002, 5244822, 1388010329, 1496602290, 67612, 1491221473, 1495881305, 1479003964, 108983, 5253734, 1476481961, 564247926, 441438319, 1352684133, 208958, 186385, 1423316321, 1466319699, 94576, 26305528, 28219176, 476254045, 108263, 28481104, 1406649619, 1336856864, 558071673, 1460682363, 85621, 1446288591, 5255336, 316100, 25643291, 557667045, 1445761206, 114685, 274686, 114564, 114369, 4872535, 210042, 551816010, 166962, 26211156, 5253893, 27646409, 191528, 1365393542, 29004400, 32835565, 1336856449, 407450223, 29848657, 28832054, 29897546, 420401511, 25642208, 1396073496, 205449, 208933, 1891780545]"
66703955,摇滚长河第三期：狂流（1970-1980）,"经过“盛世”的铺陈，七十年代的摇滚界可谓是风起云涌：华丽、乡村、艺术、古典、前卫等风格的摇滚乐大行其道，再加上几只跨时代金属鼻祖乐队的风靡和年代末朋克摇滚的扬名，造就了群雄汇聚的七十年代。点开第一首就让你欲罢不能，戴上耳机加大音量，此刻你才是宇宙中心！

封面：David Bowie","['摇滚', '乡村', '金属', '乡村']","[28864237, 20065177, 4019242, 16837172, 1868486, 3880691, 17449123, 4280256, 20506487, 21535534, 17678512, 3563411, 19553535, 1080492, 1872296, 27982617, 1227222, 20183542, 19578239, 27989203, 2010748, 24779235, 21970425, 4132570, 5187044, 21794009, 21270787, 19535557, 2701810, 19153740, 22050541, 16844600, 21917886, 28623634, 21052194, 27835568, 3863382, 19703253, 1489179]"
955862654,「Country Rap」街角上有一颗燥热的心,"Country Rap ：乡村说唱是融合乡村音乐和嘻哈风格的流行音乐流派，在乡村歌曲中加入说唱元素，就像是复古与创新的结合， 拥有经典的美好，也有现代的流行。

如今随着音乐发展的多元化，乡村歌手也跟进时代的潮流，呈现给你一种崭新的姿态和听觉体验，当乡下人玩起了说唱，那颗燥热的心需要到街角上去释放。

本单入选的均为冷门单曲，欢迎补充，不定时更新。
封面人物 ：美国乡村组合Florida Georgia Line。","['乡村', '说唱', '欧美', '乡村']","[35956682, 27642661, 19277281, 21273571, 16509522, 542011767, 28048198, 459078544, 26198416, 409430528, 26306877, 27898807, 438462393, 28739174, 2066391, 573263287, 28068403, 27681955, 16990824, 413740937, 27681963, 28739178, 33340212, 17073905, 4387373, 28953235, 27960027, 22024052, 26232445, 563015898, 26975802, 17024237]"
22910855,悦 耳 系 乡 村 音 樂,乡村音乐（Country Music），一种具有美国民族特色的流行音乐，于20世纪20年代兴起于美国南部，其根源来自英国民谣，是美国白人民族音乐代表。乡村音乐的特点是曲调简单，节奏平稳，带有叙事性，具有较浓的乡土气息。多为歌谣体二部曲式或三部曲式。【本单全收录乡村精品，值得收藏】,"['欧美', '民谣', '乡村', '乡村']","[1482106409, 18663142, 1844851210, 1852344292, 1856237246, 27896715, 1476382990, 5212446, 28569857, 1486763983, 1447680034, 19419837, 1318794699, 1838887717, 1306597744, 5160195, 20750895, 1355378133, 22479030, 405432791, 22452988, 1495030225, 3230619, 31789302, 1399736387, 1300698659, 4092663, 1439043673, 1452647216, 1306369643, 534631704, 565629126, 1312528250, 406037232, 1356481876, 540596246, 529934923, 1363642270, 1365873906, 27860090, 478269990, 496870604, 457761477, 18581211, 30967932, 27907508, 1293636, 26621685, 497542676, 493705143, 530007147, 417250067, 29460418, 16306337, 28308334, 16532461, 27750298, 1323146403, 471411438, 17956466, 29431217, 28377355, 17140567, 18904221, 1333346369, 986626, 21114507, 26215210, 427142119, 20011252, 28378025, 20567377, 35283669, 27598731, 28346321, 1475477, 24730882, 22478606, 41643819, 29722536, 29378448, 29414733, 406037956, 34003807, 37993591, 29544204, 401249765, 18641838, 2868909, 30967929, 27698496, 1557308, 1160946, 26233523, 32102345, 21702026, 18299274, 27711109, 34743038, 31680967, 3967923, 29045368, 31517166, 17570143, 3231587, 27840833, 34578148, 33414282, 28605058, 1872760, 20750904, 16480083, 26190516, 19673369, 18522137, 18578535, 28953484, 27571335, 16940660, 3402312, 30051659, 27808363, 1653078, 28048412, 16596557, 27955179, 28409416, 5256312, 5043107, 27585869, 29017181, 28242767, 16652374, 27836435, 28126144, 1592514, 26400099, 17329498, 28828436, 28253104, 28283992, 17024346, 29755042, 2786387, 28612086, 28700023, 28485646, 28391051, 29783449, 29593216, 29393724, 29750757, 29535427, 28949211, 29418186, 28959044, 29779998, 28727832, 27808361, 18785078, 21116341, 17131315, 2052803, 2085470, 26608166, 28268084, 21034236, 27909170, 21533019, 17079926, 28048405, 28287365, 28832360, 2429075, 1598744, 2061282, 17140748, 16661874, 26349680, 17560530, 28566205, 26830993, 20657375, 18050631, 28753164, 18164508, 28310561, 26373088, 2184644, 25782218, 20051411, 27909167, 2869085, 21533013, 19888419, 26197403, 19032218, 1518598, 4062409, 18164509, 25657564, 24495775, 22502857, 26413062, 1689809, 2176915, 18556940, 28020012, 20554923, 1713522, 18578444, 2328860, 18618276, 19032213, 26211184, 28409415, 987029, 26878018, 1080625, 2922431, 27585866, 16768019, 26371740, 18688644, 19293013, 26896222, 16489121, 16239765, 18564519, 21290393, 2328946, 16361172, 21702060, 26259226, 1615656, 5117924, 18711845, 21034117, 19154990, 1244971, 18688637, 22063769, 16783010, 2869063, 16439854, 17301612, 22580241, 5256593, 17405990, 1941245, 17140729, 5256600, 1103043, 2002411, 17229853, 25964516, 2314011, 18741721, 1494060, 27583473, 3034789, 16661961, 17485779, 22341478, 17047738, 1474600, 1477670, 28833586, 19132447, 3543731, 28546508, 27804165, 17461289, 4017237, 27578301, 18556941, 26896137, 28535300, 18558352, 17138476, 5112976, 2429134, 16783799, 2746899, 21156276, 18529564, 1395354, 3228332, 1121452, 18176965, 21598086, 2588570, 22507482, 24922915, 17079845, 2880930, 1615613, 5189787, 18643946, 1116087, 20507052, 18860648, 2086256, 5177199, 22601314, 18688793, 21702132, 3404441, 18824409, 2533578, 18938931, 3037030, 22067433, 4102682, 17245428, 26145005, 18551708, 1785639, 16661957, 17045924, 18859814, 16350286, 18161816, 26497662, 26221035, 5041344, 27646597, 1494045, 18551721, 19465998, 17566009, 27571331, 4388077, 1377247, 18725374, 4473636, 2700762, 19292836, 28130309, 28048205, 27713044, 28530897, 27556117, 27698319, 17574472, 16628933, 28315609, 28535298, 18164504, 26232450, 20051415, 17570158, 28753162, 18164511, 28378018, 19292838, 28768774, 21533012, 25782212, 18828614, 28949223, 27571339, 26289183, 2002422, 1102992, 18018057, 28753163, 1691094, 1391523, 4049385, 27698322, 28753165, 3035713, 26221043, 25657563, 28753166, 16628928, 17110652, 2437540, 28753176, 20051412, 18602374]"
32771567,原声带丨美国恐怖故事4 畸形秀,"美国恐怖故事第四季：《畸形秀 Freak Show》插曲，本季聚焦了一个由前德国歌舞演艺明星艾尔莎·玛斯（Elsa Mars，杰西卡·兰格饰）领导的由各类人马组成的诡异的表演团体来到弗佛罗里达州的朱庇特市的故事。
美国恐怖故事第八季歌单，同步更新中。","['乡村', '欧美', '影视原声', '乡村']","[566290874, 559465434, 31370004, 5119054, 17290932, 20734583, 29759620, 29759619, 26399716, 29753577, 21303927, 5104455, 29732638, 2993843, 27733612, 33497686, 27714015, 27714014, 28915774, 29572044, 29759626, 29759627, 27238765, 436223917, 29497242, 27750534, 29544303, 17823131, 29759623, 28568282, 19669815, 26977195, 21154044, 21461478, 20694232, 4140832, 4140826, 18269640, 29759625, 28915775, 28240666, 22212201, 27918049]"
2452400538,We Stand With Taylor❤,,"['欧美', '乡村', '流行', '乡村']","[1819857342, 1489228392, 1439306362, 1457707546, 1457704852, 1396305445, 1388968661, 1457707551, 1428661040, 1396304691, 1423124250, 1388967976, 1405259103, 1457704858, 1457707549, 1340520626, 1432435644, 1388967981, 1457707558, 1457707554, 1432436325, 1457704865, 1457707559, 1343458283, 1419789491, 1403741713, 1407950330, 1465114419, 1465114465, 1382778514, 503207093, 1382781100, 501133611, 1382576173, 1382572453, 1379807750, 1371516984, 1361348080, 538871114, 1301062505, 1340520634, 1343458286, 1343458292, 538871098, 16854326, 26221035, 1405259106, 18663136, 525427197, 559647087, 572389869, 24922918, 1311539304, 1307981692, 1315449653, 1315450420, 1304861767, 1301062509, 1301061820, 1301061815, 1304866110, 866065865, 1315450416, 1322207781, 1319005842, 1319007109, 1416661697]"
8827189604,霉霉的金曲库,十三年霉粉，定期更新我最爱的霉霉的单曲，不一定是热门歌曲，但是总有一首能让你共情,"['欧美', '乡村', '流行', '乡村']","[29572502, 1891456141, 1891456136, 1891454385, 19292852, 1803546397, 1333125872, 28111294, 19292851, 1471998613, 1990192724, 516818337, 19292838, 19292804, 1990191997, 2092283322, 516776413, 26896116, 1465114488, 1803546395, 1382781566]"
551086333,西幻/古英语/凯尔特/中世纪/游吟诗人,,"['欧美', '古典', '乡村', '乡村']","[19136497, 1388268271, 1913748927, 1402984637, 16500730, 2716690, 16852728, 436487082, 22676238, 33111369, 590995, 20180795, 22493814, 4281057, 433495, 1375422375, 1817868087, 16426496, 19728122, 4352246, 1663748, 26367463, 2118025, 27780274, 1353354266, 36019610, 20200166, 405079516, 1000152, 17666104, 27780267, 16426485, 28838930, 419254599, 21725710, 3880911, 16866785, 434664484, 547033896, 26574194, 28642415, 2923204, 5050838, 31529023, 2749552, 440101663, 16866854, 3020716, 2749701, 1234851, 440101662, 2923332, 18248324, 2422687, 3820101, 2422535, 27562663, 1876647, 4153266, 29027219, 33735522, 4342844, 16682647, 476598963, 1427875, 16653848, 2423321, 4352174, 4352206, 5042821]"
8877350331,开车听（欧美篇）,谨慎驾驶～,"['流行', '摇滚', '乡村', '乡村']","[1868480, 1868520, 1868553, 1869271, 460043748, 4153632, 460043753, 29775709, 26217117, 30064351, 26199445, 4224657, 26060065, 3986326, 1404259877, 17177367, 28528999, 37239018, 419594258, 3986017, 17177324, 461347998, 402070862, 423228325, 470547658, 525063410, 474932841, 1927389937, 16435050, 36871368, 1887190390, 35847388, 16435049, 16435051, 26569168, 30039186, 2188846, 2188235, 21038504, 433223079, 1313096578, 3314148, 3314177, 21563094, 27902187, 21563184, 3406918, 39224884, 400876320, 29561031, 1382778514, 19292984, 28946044, 26390073, 30953009, 29019227, 34228719, 36496695, 1830419924, 1903867223, 1859245776, 1297841, 25657277, 433681259, 29722263, 5093684, 25657282, 25657280]"
445988095,【无前奏】英文歌铃声♬①,"你的英文手机铃声已上线Ծ ̮ Ծ
请注意及时更换=^_^=

热门的，冷门的…
总有一款可以成为你的专属铃声~

»本歌单非常不定时更新中

封面：卡拉·迪瓦依","['流行', '欧美', '乡村', '乡村']","[2064960966, 2064820833, 1463908500, 2065620825, 1399054231, 2034045211, 1964236604, 1868497420, 1462753115, 1942594143, 1846467132, 449577802, 1844156620, 1350051594, 1824599691, 1384264596, 1989591233, 1325350636, 2000855039, 2000855041, 1318620393, 497463179, 1387549443, 1313560945, 1840861415, 1365268528, 1478568147, 1433256980, 1362857141, 1374446646, 1931176549, 1858365222, 1965565156, 1967998969, 1806052941, 1985656714, 1984847230, 1984892291, 1433430842, 1981485534, 1958401420, 1394310910, 28411642, 1886345442, 1451649224, 1449991947, 36587834, 1382830600, 1464242475, 1354240664, 1454838033, 1963238168, 1401082084, 1439148825, 1313579021, 1808326623, 1951446825, 1918796077, 1849845779, 509726833, 524148450, 1472769379, 1399054581, 1813454565, 1462753117, 1844664407, 1865011605, 436016380, 1923361643, 1826142553, 2529497, 522647397, 19192335, 1449851565, 1519169, 1490987790, 484365611, 1323832567, 1944963910, 1922488600, 2119776, 1992746, 31152057, 1435686101, 1928454292, 1400175732, 1823210482, 28977745, 1927612902, 1933652212, 1933491688, 1932152254, 1933494461, 1803546397, 460043708, 472361236, 28798784, 490381112, 476245742, 34229234, 16431978, 553954029, 467166532, 467166544, 33728453, 466122659, 460043750, 462895899, 426850142, 19045996, 460039019, 18680851, 28133171, 22614629, 429769764, 400876408, 415792762, 440317256, 29750825, 28481189, 2001320, 37248903, 433018368, 41554649, 17803904, 20554028, 21253900, 414980062, 27698223, 35314235, 28828120, 28612166, 19567986, 28946894, 33728982, 26183616, 28665554, 412175989, 1940312, 19928328, 36307219, 5096294, 27804329, 5253801, 39227969, 28524618, 30039186, 412902104, 34586518, 34072434, 30590170, 5103614, 5154605, 28160720, 18969336, 21267038, 35307063, 27090060, 26145391, 16432052, 27896568, 18637917, 28188175, 401249910, 36496695, 28157586, 25645411, 28680438, 1934387, 28308080, 402461326, 5189832, 21563184, 27583305, 4172700, 27902187, 26060065, 418550450, 407889380, 4386589, 25657539, 3027955, 32166698, 16607998, 405485737, 28661564, 28987626, 411314681, 36668810, 28756834, 21038694, 2313952, 2918954]"
