769525238,助眠曲（纯音乐）,纯音乐令人放松，治愈人的内心～,"['午休', '放松', '治愈', '午休']",[]
4973646434,静享时光|午后阳光下的慵懒欢快小调,一本书；一杯茶；再搭配一首慵懒欢快的小调；午后阳光透过窗帘照在室内，满室盈动的是柠檬的清香。阳光暖暖的，时光慢慢静了下来，生活无比惬意…………,"['欧美', '午休', '清新', '午休']","[1474585, 2103698560, 19900524, 525240461, 3157058, 530986903, 3404766, 17160654, 26275951, 27598953, 2533555, 28352984, 31563654, 18036485, 574906258, 28190712, 21803920, 18680851, 2700760, 21267236, 26577286, 1921746, 26492802, 17694907, 19572271, 497463179, 19711382, 21224495, 19361715, 1323304293, 26343110, 4433364, 3157053, 18026619, 3782922, 5096294, 2872411, 3555216, 37820828, 2700772, 1141813, 2866465, 5077170, 3159077, 31209890, 3026583, 16295636, 3550532, 2583725, 472219396, 1423305, 3024201, 2587251, 27511276, 482395086, 2587845]"
6724182167,『睡觉专用』极静轻音乐 睡眠钢琴曲,"自用新单，
比【舒缓安静】更加接近绝对安静，
完全适合睡觉、纯休息使用。

2021/09/17","['轻音乐', '午休', '安静', '午休']","[1838802216, 2081191253, 545893960, 477228881, 2039295463, 2059003545, 2062012863, 2062013732, 1992577486, 28679466, 2021343478, 1968946104, 1966860077, 1992577346, 1915160095, 1487873198, 528335349, 1996234524, 1839358530, 1332594681, 1938197719, 1913749931, 1840123790, 1970014605, 1960552899, 1965825845, 521416860, 1401926529, 1968343894, 1332594682, 517894586, 1972648095, 1465220344, 574103018, 1342680230, 1342680227, 1302229486, 1805443084, 1975434454, 1346894705, 465104436, 1805822651, 1805824094, 1342930057, 1324881430, 1342681097, 1299926255, 1873575452, 1324881428, 1361907892, 1805823764, 28679440, 1361866249, 1346351317, 1342680228, 1397725359, 1805020206, 16846168, 1498977562, 1362676892, 1499528018, 1499529822, 1309512558, 1497729646, 1302066408, 465632210, 1485799165, 1488655211, 508071122, 1360979741, 436147414, 554391207, 1327562554, 529834689, 1918330781, 1360977647, 866059719, 1368929712, 507585626, 507585635, 721061, 18057492, 19498811, 564116718, 521416856, 29137871, 1805819544, 573430920, 1317347811, 564116717, 507585639, 465632209, 495550478, 1831476858, 1302091405, 1855221502, 1915990963, 1300728388, 31648213, 18617611, 563533642, 1444757841, 1449294513, 475072090, 28245305, 22484965, 29540374, 2791113, 1160653, 563130353, 1432436408, 25842621, 1483993165, 564844112, 1394137820, 1453072373, 1302214955, 1345133099, 468882317, 1840372811, 1379242921, 1924496, 469744724, 522320589, 28245307, 1921481783, 1346787080, 21382010, 1395969796, 1463342884, 1805817475, 1362679566, 1362679569, 525239427, 522320784, 1462707938, 1390226851, 1356662876, 1334140706, 1476256487, 1384554934, 529814768, 1450090026, 1408061458, 1805265598, 1468478850, 1374617387, 1865240766, 1240472, 487125966, 1407648820, 1356666115, 1426238394, 1385355504, 1366031349, 1852217984, 1430442373, 1444943494, 24453838, 1812417384, 1403722582, 1478179409, 28679451, 1342928579, 28245319, 1416430733, 1809393569, 1459849658, 1447685080, 488190792, 555215011, 426303999, 562714352, 16223722, 28240909, 28679464, 28273864, 4064275, 1825124545, 563045131, 529824743, 28679438, 1832606560, 1474580850, 1304498200, 521415907, 1431399910, 570892147, 465658703, 565897839, 550820263, 565779615, 1297743745, 399240, 565832830, 1362811434, 575013614, 534905281, 1300721850, 568800883, 565898416, 1492761892, 510822472, 33728074, 1352983718, 563156839, 483200150, 28866655, 37132779, 565832836, 1324915228, 1384887694, 532226541, 1805819362, 532948231, 1294703, 1924504, 561562837, 566625212, 28568027, 536968031, 2640850, 522351208, 508071117, 22494060, 564115946, 565897837, 1416430616, 565697192, 507585627, 28245309, 1345133108, 26540787, 537357822, 24913045, 1300678808, 28245314, 514166287, 565833715, 28245302, 1812417375, 420181256, 1363966080, 558179501, 1398332007, 26012226, 1454107489, 26012224, 1353582131, 28245312, 28245303, 1338812601, 29544055, 1441498700, 1803781906, 566946604, 1803782749, 1308801985, 1472833624, 29137872, 853708, 32070215, 1821339864, 536130249, 1803781898, 1104478, 1812417378, 29544061, 1300729312, 402063281, 568313823, 1813752939, 1461559218, 1322480923, 28245308, 1327092198, 28273859, 18057481, 28245310, 28245304, 564267835, 465871276, 1340634620, 558928671, 1063381, 522671202, 1306009961, 1467311188, 1924530, 1478609480, 1343378694, 568378394, 1803781902, 558879452, 1392084468, 2640736, 1474042396, 508071121, 24453840, 565697193, 1345133101, 1341926578, 2640765, 2640823, 1392089571, 483200154, 565696321, 565696318, 568989767, 537405225, 1486039782, 1486039754, 570353561, 1315662263, 1331724260, 1803782752, 1326898370, 561562830, 41667714, 508071120, 24453837, 399349240, 565832833, 530899322, 561308359, 536531229, 28245311, 3204382, 1803781889, 1308801984, 561563401, 1374617388, 1436869464, 1416483074, 1340633986, 561563414, 561562838, 566945598, 28245315, 2640854, 5298997, 2640819, 565696310, 28568018, 531183527, 1448447324, 1409040919, 1409040900, 526197923, 1448422804]"
2266316760,西西弗书店&矢量咖啡,"【矢量咖啡专属】
魔都 UP coffee 音乐合集，不定期更新。

注：歌单源于每家店的收集。","['午休', '下午茶', '放松', '午休']","[517902798, 1979424340, 1937340367, 463001843, 1813899335, 1447801344, 1345338338, 1849403349, 1442111620, 1422556788, 1362521421, 1459848, 29307325, 1886345442, 2007110, 1458638474, 1878812258, 20703825, 1448421783, 1312889593, 1914856001, 1928329190, 462688243, 5053289, 18036482, 3409175, 1440952408, 1458164576, 17517304, 1402386281, 2929182, 2929152, 574648542, 1909832379, 1909727545, 17244520, 17190451, 504264170, 1852532577, 449578853, 1440687084, 1498530, 27588467, 27511042, 414118862, 1498540, 19395222, 18602302, 26515317, 449577832, 2184653, 1481575515, 1420260962, 27506485, 1443002996, 5042924, 17439886, 17086516, 280581, 1404709472, 1440684450, 26343110, 29950503, 2014218, 523214004, 1343455636, 26343102, 3404383, 1346251896, 1643096, 532940220, 1336864660, 1305774797, 35956873, 17244529, 1498555, 1384264596, 1014295, 18036485, 1478799, 1349273130, 534631703, 21389117, 27899008, 482395086, 1425763494, 1442431916, 28524064, 1372350500, 1474585, 18602293, 17177280, 1346252421, 862102221, 16411674, 484732970, 449577802, 552060841, 1478636, 5191749, 22088505, 1401710442, 19900531, 556207157, 3314336, 3971680, 3314668, 1381615652, 1383691441, 2587254, 485612149, 1297493221, 1325896496, 1141860, 511416950, 30841787, 18214751, 469249441, 17214000, 18602334, 17956472, 17956466, 37820801, 18449193, 26197585, 2177197, 5145734, 2788529, 18250864, 429261578, 2001320, 1702251, 1403703424, 33337285, 431610330, 18537539, 31356564, 18602321, 18602362, 18602345, 28402570, 2001321, 19572271, 17950509, 1608995, 39122749, 28352989, 22843785, 18602364, 4220378, 31090571, 28445460, 497463179, 412187842, 3407088, 5120906, 422428548, 432509172, 567286433, 3026556, 1068393, 26348081, 530986903, 415786181, 4395983, 3852042, 1480620520, 18212778, 28814336, 18611643, 18161816, 22683677, 632452, 34920064, 25699082, 25699064, 441612583, 18602372, 459925111, 17630607, 3024201, 18036498, 21224495, 415792772, 28547039]"
694966115,午休 | 中午不睡，下午崩溃,"你一定要记得那些曾经：

帮你挡住外来事物的人，
黑暗中默默抱着你的人，
彻夜不眠陪你聊天的人，
关心着你身体健康的人，
在医院默默陪伴你的人，
坐车很远来看望你的人，
在你走后默默哭泣的人，
雨中为你撑伞的人，
带你四处流浪的人，
总是以你为重的人，
为你加油呐喊的人，
帮你重拾信心的人，
耐心听你说话的人，
说想念你的人，
与你宿醉的人，
逗你笑过的人，
陪你哭过的人，
听你诉苦的人。

正是这些人，
组成你生命中，
一点一滴的温暖，
正是这些温暖的人，
使你远离内心的阴霾，
温暖让你成为善良的人。
","['午休', '安静', '轻音乐', '午休']","[16139394, 1824676225, 139227, 480286157, 28679440, 18057482, 1436092, 758092, 28226052, 412902212, 30070471, 37132787, 19077214, 29137872, 32083133, 1943186, 30070474, 5299097, 3882876, 25480736, 431610359, 32544976, 40021462, 1610898, 757567, 1648647, 28465109, 444312, 625671, 4990618, 36897723, 480353, 578090, 760058, 2061452, 1091088, 22829933, 28445796, 139730, 21725725, 34586144, 34341358, 34341360, 26237342, 31066449, 2089746900]"
8866394842,钢琴轻音乐｜黑白韵律之旅,在这个柔和的黄昏，钢琴的琴键轻轻触碰，带来了一种温暖而悠扬的情绪。这个歌单带你进入了一个静谧的世界，让你与自己的内心对话，感受无言的情感交流。从优雅的古典钢琴到激情四溢的钢琴演奏，每一首曲子都散发着独特的魅力。不管你是在繁忙的都市中追逐梦想，还是在宁静的夜晚品味人生，这个歌单都能为你带来宁静与舒适。让钢琴的旋律在你的心中回响，带你探寻无尽的音乐之旅。,"['轻音乐', '午休', '钢琴', '午休']","[468176711, 20110049, 26237342, 453843751, 785902, 26620638, 34341349, 1352045760, 5308003, 495562302, 34341351, 139235, 591797, 22676185, 149294, 520849195, 19498811, 1452083740, 1811909303, 1474959445, 149222, 1614278, 408140415, 1399869906, 475521, 139224, 30870642, 1309443665, 461515533, 463775, 1831761295, 578064, 523902194, 31081015, 28160235, 149321, 29535895, 1870088518, 1992463, 1449553970, 3204379, 28713832, 523660700, 1420349595, 149224, 1431107903, 5038193, 1481551217, 1398534879, 442899380]"
7509845124,慵懒周末 倾听岁月静好,把温柔碾碎放入生活的缝隙中。,"['午休', '快乐', '午休']","[421423808, 2097850669, 2096457647, 2100690771, 2051890435, 1955734837, 2104074212, 2071935674, 2071627608, 76881, 2093250080, 2093562354, 2075085618, 1973673109, 254132, 386830, 2013391036, 25648006, 1875556096, 568207693, 2103368325, 2102656883, 2012725257, 2105779591, 28068791, 37239070, 2100932796, 25713022, 2103011013, 26093064, 2085647962, 1424460203, 4872535, 1451720450, 1500439504, 28815250, 26226510, 2082621054, 2083363706, 1379918404, 26428002, 109628, 1887013363, 2103446744, 2082445010, 2033070438, 1890385695, 5301152, 2103367323, 2103366719, 530995517, 2105842577, 2104689303, 1338490248, 28613217, 2104413676, 2046533229, 2042594225, 2093633093, 1947158068, 2098784510, 1462515184, 482636090, 2080161711, 2101055525, 2105060390, 2091640954, 2088787257, 1435661824, 2040305436, 2049291275, 1412022124, 2105386056, 63538, 2097818637, 2100547132, 2029086426, 2077013182, 2087519068, 1486106274, 1474042368, 2100272249, 2017217006, 29041788, 2061225325, 2023099750, 2093980140, 1989011024, 2028167900, 33051312, 76844, 1496849842, 1346730455, 2085152733, 2035951789, 63589, 2013823506, 2084601341, 2082345051, 36871044, 1950226381, 65355, 2087411902, 2097812721, 1996929972, 28387868, 2095550094, 5281551, 2099318072, 1937340367, 2095001374, 1858126118, 150452, 443194517, 1901109775, 406907311, 2081807012, 2061347989, 1360465542, 1827038717, 22845915, 2045135496, 2104376882, 1987669122, 29751570, 2102006317, 2023187618, 2065227816, 2021350066, 2048335504, 478049011, 2098772135, 2082176014, 2095180264, 1954372700, 2090985992, 2003582433, 1930147545, 2048345455, 2036149619, 2063203700, 2046548484, 1395957825, 2086507778, 2102637688, 2004368978, 1311604274, 2093572630, 1968584689, 1948123602, 1915658410, 1334264543, 2089223876, 29753938, 1478870336, 1921935048, 488483381, 1806383190, 1993811151, 1807581976, 2087719339, 1851715422, 2080506655, 2009386221, 1822798528, 1301560948, 2047126369, 1451859559, 550520580, 515647696, 2054427538, 1367144198, 2105435473, 1822364732, 1998942370, 1872223336, 16629199, 2002265216, 2088128378, 1929995196]"
364560113,張懸 陳粒 陳綺貞 蔡健雅,太聪明:),"['华语', '流行', '午休', '午休']","[209407, 26332199, 1978621666, 385818, 209478, 471403427, 209400, 29750958, 4872980, 209397, 209496, 208889, 26590191, 326710, 326728, 326736, 209245, 26484112, 209121, 421563712, 27747330, 27908576, 326727, 421423806, 421563713, 421563717, 421423808, 30051774, 31789055, 326734, 209170, 209251, 208902, 208958, 208963, 208891, 27747326, 208937, 209108, 287025, 208901, 208956, 208917, 208950, 209008, 326699, 326719, 326705, 326738, 326708, 326703, 326723, 326712, 326722, 29431066, 29535531, 29414037, 30431364, 31152310, 29753832, 29979822, 33525647, 29431061, 30431365, 30431370, 30431374, 36308884, 30431373, 30051773, 29812654]"
7023899225,秋日精选 | 轻音乐 | 舒缓 | 秋天纯音乐,欢迎投稿-----秋天，远方的山与近处的庄稼构成了秋的成熟与韵味，岁月在此刻如流水潺潺，书写着淡泊光阴。,"['轻音乐', '放松', '午休', '午休']","[2056228066, 28411785, 28661573, 1339215944, 570332, 510509755, 486735362, 2092799941, 756112, 422429425, 2077577441, 757567, 528177111, 571585964, 435305771, 1480711777, 540194032, 5307891, 1412209212, 33525589, 535600766, 541259, 1919197212, 1879127633, 516914805, 28381868, 444003269, 1322718363, 29498694, 760058, 443291232, 1476864931, 1306448973, 28411784, 541879, 428391249, 1398274079, 29047169, 515644857, 691506, 35729185, 1937543833, 26127160]"
2374946636,超温柔的歌单,"我想成为一个温柔的人，因为曾被温柔的
人那样对待，深深了解那种被温柔相待的感
觉。——绿川幸《夏目友人帐》
","['午休', '下午茶', '清新', '午休']","[2073180552, 2039295463, 1417849873, 2177197, 1871503420, 22683672, 2047652597, 628505, 862102221, 210287, 1366289604, 400162042, 209287, 1893256785, 28566360, 740508, 1901713983, 2006166078, 1974443814, 1937340367, 29102186, 1933997277, 1442447834, 1808362337, 578072, 28461702, 1817661979, 18449193, 399411773, 448917953, 1457681678, 1958367055, 1425619718, 1841369002, 20110049, 1878812258, 1855221502, 1842902461, 1905945625, 1462458705, 28836060, 1886345442, 444312, 1341474992, 455840631, 34179910, 28048175, 1350852745, 30841784, 1444242241, 701034, 530986903, 486188245, 1807309187, 22792900, 276904, 5133273, 1413149982, 5179544, 29450567, 1448421783, 1381615652, 1439374208, 17517292, 424060277, 32544918, 425100824, 569200210, 468741826, 28765208, 326738, 1384264596, 552060841, 1441758913, 494407929, 1336864660, 1355252398, 1843907286, 1487943653, 1366031349, 448184048, 1409010313, 26402531, 25730757, 422428548, 28411051, 1438690700, 1457172865, 515803398, 5053289, 1448298642, 1450084231, 523567, 435948605, 1384026889, 1847406616, 1386038246, 1354629987, 1478636, 28308433, 863481066, 522826272, 28445460, 26418355, 532940220, 521169592, 28059118, 430053398, 430053400, 28208212, 701026, 26114621, 1314353013, 455557328, 485612149, 476659144, 469249441, 1397003602, 526656, 1297742167, 557584800, 1373228032, 2786284, 453413861, 557583044, 1320884184, 1327889173, 1307996767, 428116125, 429459647, 1321648605, 863709049, 1346537104, 2001320, 428203132, 27949374, 30953009, 481535277, 27759600, 497463179, 447506014, 486999661, 515452368, 3407088, 3154082, 2080326, 287035, 519479311, 468469640, 522510615, 189207, 1481870914, 479598964, 26447698, 482172, 584155, 469719260, 32544924, 441566368]"
2670054457,想和你躺在草坪上，慵懒地晒着太阳☀,"春天的秘密藏在风里，藏在和煦的阳光里，我想对你说的秘密藏在每一首歌里。
想要和你躺在草坪上，慵懒地晒着太阳☀想要和你靠在一起，分享我的耳机。
你眯着眼，阳光落在你的脸上，你嗅了嗅，闻到近处的花香，我们就这样靠在一起，不说话也很美好。远方的鸟儿在歌唱，唱可爱的你，唱温柔的太阳。宝藏歌单。","['午休', '散步', '清新', '午休']","[1469327796, 1810072698, 1359818052, 410629435, 574925512, 22715757, 37820828, 24615856, 5151048, 1369814507, 1396939671, 1359508230, 1479507542, 1336864660, 572166420, 1399397321, 2871745, 18449193, 22652127, 482172, 1395490492, 427595158, 1362128139, 504264372, 469249441, 485775550, 467805515, 2872438, 1324874010, 567366119, 1334296072, 2866465, 3026583, 18680851, 1475050, 1365268528, 486855953, 499275445, 28946894, 26989164, 635845, 28285739, 2001320, 17086516, 2530135, 472137696, 419596181, 1297486193, 536623605, 1432141952, 740508, 1367520209, 1351923466, 28298798, 1419481591, 502047783, 22683685, 28258218, 3716408, 573652613, 551340498, 740693, 483378334, 1406430245, 1499596650, 476598206, 16607021, 530986903, 1305365914, 1376945747, 27182090, 28815383, 1381615652, 581063, 5156179, 557474, 1325898782, 2533452, 17694916, 3027556, 28461702, 28049185, 518904553, 1299871688, 1309995372, 1359815264, 4433364, 1296913095, 1301777162, 401250036, 643121, 494020372, 5077151, 1370378324, 531786301, 438462567, 25698046, 541968, 562594084, 548823607, 448741168, 1325896191, 16607998, 4330336, 567145851, 497463179, 37820825, 1383943253, 35956873, 418708319, 1326439375, 28828710, 22753249, 19032267, 18374823, 5096294, 28587152, 26407811, 493735175, 865726575, 17950509, 32069683, 526413094, 557583289, 17085365, 2777934, 1480621472, 26400098, 862102221, 17245412, 16492015, 1441214296, 524148143, 2207048, 434550135, 448518236, 18210641, 1344801012, 3555216, 453291726, 2776347, 31750709, 18210639, 865299, 26275951, 3026556, 19194800, 569588, 32341393, 569610, 35023258, 769617, 448520316, 1317410095, 526464265]"
5429892797,周末宅家必备：慵懒午后降躁指南,"你有多久没有享受过一个安静的午后时光了？

我想很多人都会热衷于慢一点的生活状态，伴随着下午茶、阳光、咖啡和书籍，可以让自己尽情地释放慵懒；但是在这个快节奏的都市环境下，想要过得舒适一点的想法很容易会被打乱或受到干扰。

难得的周末就要开始了，分享这份“降躁指南”给宅在家里的你，希望它们能够让你卸下疲倦与烦躁，给你一个轻松而惬意的午后时光。

封面源自网络","['欧美', '流行', '午休', '午休']","[1478568147, 28381440, 1831321963, 408140559, 516358164, 28383855, 17121111, 1651747, 468738013, 464797752, 1609689, 28256197, 1308081109, 32897951, 33638527, 29418400, 33916532, 26376060, 30569879, 34578212, 2054828, 29453187, 509106740, 472050059, 449577802, 26509205, 28405537, 1325468580, 1297494185, 504264242, 1307363168, 1378191814, 530057142, 1418690935, 1307822772, 528273535, 1360802806, 29473749, 29729012, 1486631924, 1314353013]"
7492244930,华语怀旧|指缝太宽，时光太瘦,岁月不能回头，我们无法白首。,"['午休', '怀旧', '午休']","[2105347020, 2001626247, 482636090, 2101770278, 1404709472, 2105435473, 2096457647, 1827038717, 26428002, 88926, 2093562354, 2093250099, 2104362715, 2096174015, 1480380028, 1329771977, 4872535, 1999170057, 2088787257, 2105538356, 254059, 1486726254, 2064960966, 2063156218, 2081323083, 2099646947, 2095585816, 22845915, 2061890668, 534066129, 1427676242, 1424460203, 2105038739, 19827042, 2099495525, 26093064, 1379918404, 1406266995, 2034587234, 2006693987, 1808235517, 2003284668, 385554, 1875556096, 550520580, 2102632357, 2093497033, 1955734837, 1351923466, 2079916611, 524782659, 1399335349, 2105471770, 1501447963, 2103725218, 1404596131, 2019972021, 2078182235, 346588, 2084267889, 2051460329, 1851715422, 1901735633, 32922450, 1868603806, 386830, 2039157171, 63538, 2021173064, 2015224950, 2088683865, 2021350066, 2103367323, 2101055525, 436514312, 33497044, 28613217, 2034085209, 1887013363, 18520488, 2094482745, 1869548967, 1968461500, 92952, 36229051, 478049011, 1470919891, 2048783798, 1947218080, 1848550739, 28875146, 2095786648, 2097893986, 1313107594, 1851228570, 209228, 1979274315, 1374606163, 2075919867, 1918366001, 1952330086, 150432, 1979634279, 2090386241, 1903192226, 2015684589, 2093980140, 1826100277, 2102684588, 2005190306, 209251, 1451720450, 2012883727, 409931573, 2079740406, 2030061792, 5281551, 2078402084, 2093241816, 1907164842, 1939778457, 509726460, 486693117, 1838776011, 1444462978, 1436264336, 2033070438, 1493058292, 115087, 1890385695, 1457497399, 1311091060, 478731355, 1358848617, 2070151218, 1944894031, 1820102293, 2050434146, 29751570, 2085152733, 2039156393, 209867, 1970344488, 2100969366, 1984320976, 509728140, 1909961703, 1368256662, 1986938606, 150654, 1806516957, 22644019, 5301152, 2089223876, 1985709585, 22818161, 466343439, 1419178443, 33984984, 65355, 450048316, 1933263161, 29019224, 3947467, 1336969692, 2047892432, 1497695192, 466343453, 2090731679, 28815250, 523046186, 1332577336, 1987669122, 1903991816, 25713024, 22704470, 209287, 76837, 2079247024, 2056551420]"
3097789970,慵懒小调 | 当阳光暖洋洋的洒在草地上,"下午的阳光透过窗户照进房间里
万物都映上一层柔光
杯里的茶清幽淡绿
床上翻开的书随风飘动
明信片和照片也散落一地
你擦拭着落满灰的钟表
就让时光静谧流淌
在这个祥和的下午","['欧美', '安静', '午休', '午休']","[1861135597, 1449116720, 1894041660, 1916668212, 1952085121, 1947547927, 1483391358, 1420260962, 1479974174, 1905456141, 1956802499, 1821726196, 1932414938, 1883984477, 1961271059, 1366537490, 1938109549, 1810072698, 1994555017, 1425763494, 1975141971, 862102221, 1469327796, 1878812258, 1908881285, 1961271062, 1946256898, 1311346382, 1481575515, 543862577, 549309096, 486999077, 18210641, 1349965929, 1399140622, 18602334, 1365268528, 402431562, 1693663, 27571714, 4267585, 2748096, 2748092, 28354251, 2184653, 449577832, 446549155, 429261708, 1312889593, 464674024, 27630178, 27510022, 27510024, 482999497, 415786181, 1339805651, 26197585, 18036485, 2871231, 2866463, 1376102743, 518895995, 1336866526, 523249493, 30569879]"
