2217722863,【90后】2000首怀旧经典老歌回忆杀,听完满满的回忆，仿佛回到了学生时代,"['90后', '经典', '怀旧', '90后']",[]
56358554,数码宝贝【2020重启】OP ED 插曲,"2016年4月3日，光叔离开了我们
愿光叔在另一个世界安好
1 纪念光叔
数码宝贝 ~2
数码宝贝02 ~7
数码宝贝03：驯兽师之王 ~14
数码宝贝04：无限地带 ~22
数码宝贝05：拯救队 ~28
数码宝贝06：合体战争 ~33
数码宝贝大冒险 tir. ~44
数码宝贝宇宙：应用怪兽 ~52
数码宝贝大冒险：~更新中","['日语', 'ACG', '90后', '90后']","[536809, 4940920, 4940932, 4940933, 4940927, 4998384, 4940921, 4940935, 4940934, 4940928, 4940929, 30070622, 29266927, 4940922, 4940936, 28468455, 4940937, 4940944, 4940942, 4940943, 492700, 4940923, 4940939, 4940926, 4940930, 4940938, 536926, 4940924, 4940925, 4940940, 4940941, 4940931, 821920, 845789, 845774, 536722, 30148554, 536726, 536695, 536693, 30148552, 30148550, 799949, 37095476, 37092549, 37169617, 408629374, 431855316, 461858789, 509531608, 557584656, 446875886, 447280991, 484721425, 453291038, 484721426, 1460877475, 1438410431, 1823969894, 1836768014, 1864274404]"
8791837235,余庆伟｜余庆伟合法女友专属歌单,这里是老余专场！o.O,"['流行', '怀旧', '90后', '90后']","[1842728629, 450224882, 38576323, 438204707, 165405, 22966371, 1844449888, 28427771, 1426112587, 191248, 1852309595, 1456890009, 1427135285, 4872535, 488249475, 409060875, 36024806, 1859245776, 1413863166, 1456659704, 108673, 562598081, 1870238140, 1478375353, 1498376994, 1834310426, 1857630559, 1806634682, 1818237485, 1465310744, 1803936748, 1805894365, 1832506754, 1381755293, 1496828617, 1836033745, 1444707403, 1808492017, 1841002409, 139764, 402070928, 573968818, 1299844911, 1369034061, 5250048, 1425626819, 1844664372, 1430844230, 1490611167, 1846273697, 1404597072, 1831771732, 1427613582, 1391682167, 1837055519, 30039341, 1808475065, 32507038, 1857288534, 514761281, 1432544572, 431791474, 189386, 417833443, 1499093436, 504652401, 544151692, 174956, 1430850573, 17721274, 1338146173, 1808705321, 31066146, 1404885266, 1393443514, 1343756008, 1365898499, 30431366, 1460500487, 430793721, 1312993764, 1481164987, 496370620, 1424629452, 1299055470, 1387178379, 31010566, 1411387783, 419827614, 1367452194, 1907978608, 2009974513, 1923184888, 1890256410, 27591236, 1895330088, 1371780785, 447925342, 1447584994, 1952823230, 1910994242, 436346833, 34586275, 1931994283, 2018432856, 2019035410, 441491410, 1331996746, 1356658022, 1930537034, 1824045033, 1859907075, 25638340, 36024442, 26387325, 1299570939, 1948754378, 165347, 1887139866, 34324641, 27906425, 108485, 1940334604, 1982285682, 1947107407, 422104138, 167827, 1957514977, 514765154, 1927389937, 426852063, 1851652156, 1971784753, 27901231, 1963654951, 1903876057, 1957492947, 26429060, 1955028561, 28029509, 1930608504, 1927693793, 1923458630, 522943592, 1970324585, 254285, 1340400068, 1342499525, 1954957361, 345556, 1482925175, 1376873330, 1842488843, 1869137418, 533259686, 436489074, 139774, 1435158305, 526081111, 1836118645, 424995318, 1482867143, 25714102, 1965890511, 1953828422, 5248060, 97357, 553755659, 1851258433, 518904648, 1859515946, 31514959, 541511427, 1304347114, 1932080748, 35847037, 1940900669]"
8830572384,林俊杰JJ20演唱会咸阳站1028完整歌单,"林俊杰JJ20 演唱会咸阳站1028完整顺序歌单
（《无杂质》和《起风了》没有音源，其他版本代替）","['华语', '90后', '流行', '90后']","[108886, 1475596788, 108463, 1993354583, 2039156216, 1468115100, 108914, 1391477429, 25727803, 1487943004, 2079811635, 29814898, 108245, 108965, 108485, 108136, 108432, 108242, 108493, 2041026502, 108810, 108795, 1479003964, 108152, 1487943652, 1396349011, 108902, 1366052801, 25729074, 108138, 108251, 2039156852, 26305541, 108910, 40147554, 108478, 1366053680, 108931, 26305532, 108269]"
8825726467,那些年我们一起追过的电视剧片头曲,"久听不讨厌，你爱的歌 ，值得反复聆听，热门情歌，收藏你的最爱歌，经典新老歌曲，
每一首歌有你的故事，希望你们，收藏起来","['华语', '怀旧', '90后', '90后']","[5271858, 555984413, 153476, 66457, 5271860, 166070, 28853351, 4878241, 5271855, 156329, 156333, 114097, 86357, 391566, 27908349, 189433, 188948, 27890985, 92148, 5271851, 114075, 68600, 29572592, 4876053, 27906955, 290775, 76136, 112678, 4875015, 29999488, 68643, 189697, 5271857, 30031174, 28640060, 95235, 27562927, 189423, 69827, 186648, 68641, 4877758, 4877755, 4877752, 145879, 151139, 4878597, 201449, 308045, 28844296, 163639, 266071, 64497, 308106, 31179069, 27946614, 201485, 135728, 4878587, 4878376, 144378, 29122724, 4876973, 27904044, 29544311, 28959186, 34986703, 27927745, 331160, 27927559, 301200, 29544111, 36103005, 27904159, 27927294, 27908105, 863515917, 29999474, 27908251, 32922491, 27570905]"
2249850007,华晨宇|红海之约，欢迎回家|,"
相约.火星❤","['华语', '90后', '流行', '90后']","[536937393, 1425818677, 29418036, 1422992414, 1439111141, 1425643256, 434981389, 481859794, 472137749, 500913469, 29418045, 1305366556, 1407358755, 29357467, 1421191995, 420125810, 33190545, 32835565, 34228112, 432698831, 1399533630, 426291338, 29004400, 32619105, 1436910205, 1434057772, 1432428744, 1429908253, 1428605192]"
2416189478,无音乐，生活无趣,听音乐使人更快乐,"['90后', '90后']","[2104131148, 33004496, 2100597903, 1995470316, 2098451078, 2099141559, 2068979166, 1916381544, 2084116056, 1844465607, 2093393519, 2078677417, 471677648, 2088857669, 1922580648, 1982823159, 1879564510, 2057301639, 2084960566, 2081746319, 487702752, 2073807595, 490418412, 33035954, 77148, 2075243854, 1821403066, 1454897840, 1833119637, 2073463531, 1410647903, 4454967, 2062392376, 2024525389, 33361840, 2064065232, 2061406509, 2063166562, 2019917144, 1973457247, 2060588703, 1895377452, 2056731791, 2056522061, 1989634863, 1895356995, 1893716735, 2008988428, 1968181271, 1947101359, 1891675352, 2008993639, 1981620346, 1815692776, 1910159332, 2043950751, 2019885391, 1879000319, 2042032680, 21274655, 28952154, 1491688724, 1401400198, 2177028, 16835303, 1928042003, 369126, 1887442472, 1895152270, 1832874937, 2023335853, 1919514531, 2027274504, 1445294919, 1863420116, 2002712975, 1864610828, 2025968911, 2020625847, 86279, 1466155791, 2010669072, 1423209798, 1423241133, 480579393, 2016139279, 1929356844, 488249475, 1455525244, 2011924065, 1456669966, 2012667837, 1977869850, 2010835130, 2010344734, 490206834, 2008762964, 1498555494, 525240626, 27804045, 1387585095, 326784, 1425428650, 1376913852, 1988253157, 1992107388, 1875472, 1498556410, 1363205817, 29004400, 554241784, 408332757, 168091, 327115, 1979871092, 475479888, 1847250546, 355992, 1323543999, 1498555490, 1808492017, 1986421019, 1411987535, 1886366231, 1966162185, 1425689146, 1964903445, 1964903062, 436514312, 97357, 1369798757, 486188225, 4875127, 108134, 26305527, 486194136, 554242032, 108242, 26601005, 399354367, 145424, 28726433, 1962946872, 1914997935, 1964369062, 1973465191, 1902709478, 1971111231, 95438, 1338962014, 1957058285, 1913362063, 1965350878, 1963371715, 1961340864, 1858903387, 481692966, 481689946, 1407268890, 1896619687, 28633002, 1863879187, 1810182241, 1337989120, 485315258, 1956852344, 1953404860, 1879563755, 1811200075, 1949911401, 483002583, 480694421, 1411999166, 1323550372, 1323544016, 1894638692, 481692990, 1498556411, 1473103756, 1920623228, 400162138, 346075, 346576, 1346104327, 529813535, 529813563, 1913268399, 1845822779, 1894369740, 1896518179, 1918118524, 1933963652, 1807671214, 1924192880, 1922188946, 28411630, 31877246, 1901371647, 1916799714, 1910045014, 1896525696, 35437416, 1840419090, 1923452532, 1870347264, 1890584520, 30089401, 1426142184, 1922837474, 1498555491, 1380948776, 1905031418, 1894007406, 1904105445, 1892832045, 1907510181, 1896506622, 1896506497, 1891469546, 1846351298, 1895398594, 1341147399, 1480204501, 1880886636, 1887655459, 1859245776, 1393230495, 1892287947, 1892287198, 33190007, 1396409354, 1881237114, 1866848329, 1464325108, 451703096, 1815030422, 504374899, 1496210563, 1491607137, 1479983839, 545947179, 1300437066, 1417209418, 35778201, 26608603, 1819695500, 1836681993, 1385442508, 1846540531, 1459215375, 1817655875, 1851989718, 1436104892, 350909, 1810055220, 1412969681, 1420494812, 1837137228, 1824175057, 1396437116, 1822621070, 1844630083, 1465305954, 1832110143, 1319873210, 1811468746, 1819631514, 60394, 5254811, 191777, 178143, 1500085862, 1482483742, 1811155590, 1817469683, 376552, 1811921555, 25657358, 1812859297, 237839, 1809403145, 254574, 1476222535, 1498698633, 1417183143, 1459493570, 1480350043, 1501412870, 1464742343, 400876320, 492145159, 1343454593, 1480204502, 460112012, 1316117255, 1343136326, 506549060, 1345582038, 1443754577, 222465, 25795016, 1308134338, 493135736, 1361421533, 1451805592, 1374666859, 1410254671, 1474901256, 1476201313, 29312950, 1470986041, 1305367805, 1470491924, 1467227619, 1437387914, 1400532494, 1414880455, 1432655645, 1434071352, 1323041072, 539087802, 1344400114, 1380075263, 1413338688, 1421614297, 1368711410, 1428348973, 364741, 560945185, 1337611241, 1345265214, 534509932, 4178904, 453278324, 1443924550, 1352983891, 1439197183, 1435486057, 4173190, 1422634052, 1331819951, 28875244, 514169177, 1410215136, 1413440778, 1411513859, 1404885266, 1408627123, 562727012, 1355486595, 526999552, 1353736516, 1354488745, 1398909869, 480835957, 1325898507, 1322591657, 505910375, 1366930082, 546565077, 546563501, 547009238, 546571519, 530474280, 548577139, 548766940, 541071713, 484506690, 427610947, 544274090, 545250474, 519798031, 519907101, 519803293, 990856, 1332969651, 37653063, 504017347, 27583305, 542435380, 1324902411, 1334649513, 534509933, 33887645, 1337171221, 556002824, 481687781, 1311166024, 485647719, 542691223, 485650601, 474928290, 35448037, 1317457517, 480345404, 28966874, 178165, 483147309, 512132895, 519798141, 1295578843, 865373728, 1312405155, 1315194527, 26032231, 544622355, 502680653, 30512216, 27583353, 507532178, 206071, 473817398, 524290990, 541243674, 571073013, 571068163, 557393079, 553640720, 1305623381, 544179422, 545044409, 543127213, 544184874, 544168539, 543126467, 542427516]"
7629041617,2023全网最火流行歌曲推荐（更新快）,2022全网最火流行歌曲推荐,"['华语', '流行', '90后', '90后']","[2098991574, 1397345903, 2006767156, 1456890009, 1895330088, 1495077170, 436346833, 1838919030, 2085408290, 2071935674, 2075896544, 1398283847, 2049512697, 2041799838, 2048584480, 2063180564, 2063247545, 33941662, 421486605, 2046047884, 2031987807, 2031414209, 1807799505, 1922888354, 277270, 2019573476, 2038498704, 865632948, 2026224214, 1403318151, 1932593070, 1825216577, 1455693398, 1897678158, 1842728629, 420401511, 1984836305, 2035145703, 1435431221, 1499892134, 1478336049, 2050058466, 1897456654, 1377981143, 1898044638, 1401671540, 1824090589, 1336856449, 2038202805, 1895997028, 1997438791, 2020080118, 1462400183, 1974443814, 1443937011, 1964850254, 1951069525, 1964510434, 475479888, 1804248044, 1919931652, 1833106566, 1880207367, 1860542604, 1895426424, 1465296137, 2039983381, 2012726202, 1454670699, 1940334604, 1865573010, 1919322135, 1929311293, 1439153218, 1868918362, 1885100923, 1897439735, 1849998058, 1897428578, 1931631797, 1819703536, 1925247600, 1913785814, 1408713927, 516086089, 1837047399, 424496769, 1425896353, 1397679310, 1373054207, 1898038197, 1804321342, 1454242523, 1483217346, 1431880021, 1888926709, 1419457616, 1469354655, 1496828617, 1448708948, 1422705673, 1500707099, 1815085049, 1827600686, 1818082272, 1482867143, 1811651913, 1824025894, 1828026086, 1453415379, 1470680973, 1423241444, 1897685807, 1433060580, 1469625650, 1381653154, 1499887316, 1466133934, 1467662607, 1446259459, 1479243874, 1407358539, 1417784917, 1475171260, 1426733097, 1392317880, 1465245956, 149686, 1456278509, 1363593578, 1433244662, 1425898176, 1460251069, 1465959494, 1464541600, 1417126331, 1441939268, 1461346531, 1458931009, 1473930349, 1450468988, 1458387714, 1465975035, 1466385831, 1429787141, 1466867610, 1469350053, 1458699573, 1432956275, 1459436775, 1426733632, 1431866741, 1447137531, 1432956297, 1456278270, 1450630238, 1426715109, 1445239135, 1450494818, 1424647603, 1845676697, 1449020316, 1452400445, 1457620275, 1449595426, 1429805487, 1488077114, 1442600205, 1365666545, 1429705980, 1394470823, 1433795646, 1422778987, 1897376082, 1422727081, 1438643335, 1449990499, 1434181586, 1431464716, 1433523799, 1417781799, 1426597717, 1434933094, 1427090453, 1389946413, 1371378894, 1425438572, 1412847322, 1395302566, 1334014549, 1339226999, 1387051024, 1382881658, 1896011629, 1401595021, 1383966924, 1428245091, 1377005412, 1396375920, 1352045218, 1395766632, 1365503354, 1371382520, 1358575160, 1432632134, 1374626245, 1387608452, 541312426, 1312993764, 1409596605, 1353785994, 1418852960, 1395951970, 1945316194, 1363972365, 1437014928, 1469348415]"
4969364850,清先生的私人曲库,以前一直以为开始厌倦就是一段感情结束征兆，直到那一刻才知道，当你感觉一段感情变淡了的时候真正的爱才开始浮现。当然，你可以选择放弃 然后去寻找下一段具有新鲜感的感情，但代价就是永远逃不过新鲜感的死循环…,"['网络歌曲', '90后', '90后']","[568207693, 2006448864, 29713754, 5412258, 22813706, 139808, 22704409, 423406145, 25642952, 2080452567, 1891431677, 167971, 189688, 1397657356, 135362, 191819, 1999882720, 26600742, 2003637078, 5235630, 385787, 1964306225, 2044458041, 2048584480, 369392, 376417, 4878242, 1336866698, 513360721, 2049512697, 167975, 168091, 436346833, 31445554, 36992901, 26387325, 167799, 28403111, 1474411443, 208940, 17572422, 150422, 139764, 2041974276, 475479888, 167942, 298258, 65766, 211238, 385781, 114741, 167732, 1917813225, 2023954033, 1359818052, 260109, 189540, 189545, 190072, 209643, 298880, 145695, 866049362, 3427474, 447865177, 108810, 1980856355, 445154140, 2013159333, 1901371647, 569200213, 28543109, 67467, 22833488, 1960534306, 1887917182, 486188225, 547825514, 1299550532, 167873, 1388410229, 566436427, 1932683020, 1335330283, 108190, 1816107082, 233931, 192702, 1808492017, 1852086408, 28798772, 139703, 92939, 191046, 167655, 1959667345, 1824045033, 108931, 1840863998, 1433434738, 64443, 174962, 167937, 165373, 167929, 167870, 5250048, 1381969230, 167676, 327089, 29758362, 25640392, 1410647903, 812400, 1456341437, 95475, 410629770, 165380, 483671599, 1432968475, 108493, 1894094482, 29771892, 516728102, 191252, 394748, 1877996649, 209750, 1857146056, 1451720450, 1841002409, 32317211, 482988834, 1840459406, 1308782023, 31081299, 1375539402, 1828026086, 108914, 29814898, 486194136, 25727803, 26305540, 26305541, 108478, 63968, 1492584510, 174961, 1811921555, 574566207, 165361, 165364, 1456393572, 1368754688, 167876, 27646687, 167827, 411214279, 167679, 347597, 347758, 346576, 347230, 32701152, 346069, 21157332, 66476, 30432204, 346073, 211015, 1448183660, 1435449062, 108485, 1340620864, 108269, 167844, 1328146041, 1338695683, 1312993764, 476387276, 514761281, 430793721, 33314416, 862100828, 1331885158, 1425882756, 1377558035, 35678875, 1807537867, 94365, 299116, 69611, 258684, 30432232, 30432231, 369126, 1441758494, 1443838552, 276035, 1477284822, 451169473, 26600601, 569213220, 108418, 139558, 30352891, 340383, 1415829224, 29004400, 1367609755, 455345415, 550138197, 1436910205, 27928102, 1297802566, 1436709403, 1426112587, 1417520088, 1411784688, 28643203, 1336631279, 1404906595, 1382411919, 1317903485, 1361988914, 1336971085, 28947060, 108245, 347355, 108138, 426291544, 186436, 174963, 207497, 5100769, 1363551021, 1388033531, 38771760, 1807865, 1363205817, 518682659, 506360364, 1313354324, 439121233, 437311047, 1377372171, 1396568325, 1393178113, 515453363, 432698441, 27906918, 1217823, 17706562, 1390065771, 1381755293, 1346745456, 30987373, 346085, 1388010329, 1357999894, 329925, 417859631, 32835377, 562119566, 27481762, 554053813, 32835565, 562594322]"
8817340615,0713再就业男团珠海音乐节歌单,0713珠海音乐节歌单,"['华语', '流行', '90后', '90后']","[29567029, 1296092107, 1296092111, 1955972100, 1401201237, 28306845, 37239989, 2046210014, 165026, 1907504362, 422104246, 394748, 1953773128, 362955, 1405069353, 1948398812, 1405068825, 1946713310, 2047736243, 1479515586, 2040894389, 145282, 2010568755, 499793090, 1978402375, 1953853434, 1974345620, 26387326, 37668009, 145256, 145292, 1926530320, 1974916045, 1899048102, 25795005, 1995071414, 1982958766, 362965, 1465288702]"
8373407879,经典不一定常在 但气质是我的命脉,by给你听上旋律了,"['流行', '90后', '经典', '90后']","[2070991318, 2069036547, 1974256625, 1450912703, 1830730206, 1983575885, 2021404361, 2041359395, 1979429453, 2030198627, 2053983447, 2039348628, 1984174895, 1836118069, 2038966398, 1904399655, 1831452390, 1897859587, 1969040118, 1840742413, 2039753888, 1808466478, 2025212444, 2027227378, 1927476546, 1875955378, 2042061790, 1378411310, 2022223588, 1833516949, 1884223465, 1827014533, 1922727522, 1340398584, 1836206381, 1364694859, 1987037053, 1479720114, 1911836317, 1874121853, 1353385802, 1386946642, 1938163706, 2037894735, 1831400466, 2019302186, 1816324892, 1879540257, 1943384119, 1829058840, 1830736613, 1929014968, 1813880959, 1952833200, 1849017582, 2023233209, 1851314002, 1956153814, 1848802862, 1978260527, 1852665097, 1931317462, 2000738824, 1831824841, 1980292460, 1969524118, 2050047648, 1865022432, 1362215144, 1883214268, 1808684890, 2029596910, 1351225950, 1995483304]"
2517893035,怀旧｜90后的童年儿歌,给我个时光机吧,"['怀旧', '90后', '民族', '90后']","[27571930, 31273716, 395479, 395648, 5263124, 395565, 395609, 395510, 519250201, 29829717, 395621, 28953457, 5278091, 395571, 442030176, 1499450628, 28700287, 1417892364, 566443170, 1293904913, 395516, 395448, 1852759154, 252185, 344738, 5240758, 395468, 395640, 395611, 5264062, 395460, 395456, 566443172, 1461621906, 33024004, 1809814918, 344699, 33004823, 1417892372, 395559, 5242635, 863515679, 28700244, 395464, 5285416, 395583, 5278088, 388686, 395493, 395498, 5261820, 1293905905, 5263042, 566435164, 566443179, 5263407, 5269737, 5269739, 395537, 5269741, 5266857, 5242631, 214389, 395476, 27896342, 29810089, 29848692, 27927305, 29850050, 28613215, 29848624, 28708806, 27896347, 30830982, 501302894, 29848687, 1806728090, 29829712, 29848703, 29848668, 395574, 27901803, 29822084, 26129512, 28850410, 30070951, 32639017, 28831001, 29810088, 30070924, 27901669, 28029828, 33187450, 29829718, 29593117, 4876673, 5269345, 29023521, 5263408, 29848543, 252171, 27906147, 31645206, 29829703, 29822085, 199768, 4877777, 27901933, 25640030, 33599439, 27901256, 30039393, 29822086, 199766, 28920001, 29023594, 28593261, 27907987, 28920002, 28188452, 29418974, 28409805, 28953442, 27901832, 28768983, 192994, 5240649]"
8801861066,【精选】惊艳了8090后青春岁月的华语经典,原来世界最苦之事当时的他是最好的他后来的我是最好的我可是最好的我们之间隔了一整个青春,"['华语', '流行', '90后', '90后']","[189545, 108641, 189540, 5255640, 5255631, 66842, 2081353554, 4876355, 115250, 77259, 537854964, 27646693, 346075, 114954, 383267, 194526, 299116, 254574, 5238221, 254485, 33361840, 382844, 281530, 163635, 60263, 85580, 60280, 110043, 214626, 65536, 179765, 151931, 28949444, 5271858, 168091, 247512, 60394, 163123, 1397657356, 176496, 376312, 318317, 187169, 454828906, 94689, 144513, 307472, 440403836, 85621, 1952812747, 1480380030, 254589, 258498, 237275, 310689, 158616, 486814713, 156919, 259541, 211637, 158843, 485992506, 1873921204, 78266, 299448, 188820, 276936, 190499, 307679, 307684, 33599439, 29723035, 25657364, 543657006, 543656129, 110184, 114741, 110740, 5250622, 156284, 254638, 77131, 156889, 26599792, 190526, 178734]"
91569172,容祖儿李克勤两场演唱会！,,"['粤语', '流行', '90后', '90后']","[40140617, 40140618, 40140619, 40140620, 40140621, 40140622, 40140623, 40140624, 40140625, 40140626, 40140627, 40140628, 40140629, 40140630, 40140631, 40140632, 40140633, 40140634, 40140635, 40140636, 40140637, 40140638, 40140639, 40140640, 40140641, 40140642, 40140643, 40140644, 40140645, 40140646, 40140647, 40140648, 40140649, 40140650, 40140651, 40140652, 40140653, 40140654, 40140655, 40140656, 40140657, 40140658, 40140659, 40140660, 40140661, 40140662, 40140663, 40140664, 40140665, 40140666, 40140667, 40140668, 40140669, 40140670, 40140671, 112541, 112544, 112547, 112552, 112556, 112559, 112562, 112566, 112569, 112572, 112576, 112579, 112583, 112586, 112590, 112594, 112598, 112603, 112608, 112613, 112618, 112623, 112627, 112631, 112635, 112639, 112643, 112647, 112651, 112656]"
8749436799,浪漫世界 值得孤身,"嘘，别告诉他们你一个人也过得超棒

岁月流转 听雨打落秋叶

夏天吹吹风 消散疲惫的情绪

冬天下雪了 就捧一把慢慢融化

听说雪是甜的 可以尝尝看

这么多年身边的人换了又换

不用其他人来分你的浪漫世界","['流行', '治愈', '90后', '90后']","[2080506655, 2082760150, 1895330088, 2082764029, 1431866741, 2074705297, 1454670699, 1946538827, 108245, 1994057212, 523250334, 1863476702, 2071935674, 1900462951, 483671599, 1865518299, 1401909095, 1399171423, 522352195, 1857997070, 1374061043, 557584804, 1366052802, 1971162294, 1360512111, 1809802490, 1406083061, 421486605, 1842025914, 1459941207, 1846489646, 27591236, 2016124934, 2063864551, 1908049566, 1975753397, 2036556394, 1397345903, 2066654616, 2057987736, 2057188478, 2007335651, 1806071453, 1400282651, 1412545195, 1365393542, 1942734484, 28240533, 484732869, 1842728629, 551816010, 1492898324]"
815396861,90后的回忆凤舞九天冰河时代非主流DJ,"那些年我们听过的非主流之——︶ㄣ啡紸瑬塟じòぴé镓鏃，鬦儛禦砽大碟ゞ
主要是初中时代（2005年、2006年左右大家都听过的。。。。非主流歌曲）
穿越回到那段青涩时光，引领时尚潮流（滑稽）！","['怀旧', '90后', '网络歌曲', '90后']","[114067, 27907965, 5308028, 401723106, 2771984, 2177028, 151985, 460315786, 156210, 19119844, 28708061, 29600484, 350942, 28923914, 353066, 135377, 5356977, 135394, 85491, 60008, 357330, 26235109, 22845457, 236333, 368764, 27646687, 27591655, 135145, 5106509, 85621, 357319, 254017, 236263, 122535, 26599373, 350936, 354601, 289565, 163364, 354352, 2187720, 26147216, 297587, 3950882, 3406379, 1772367, 3026472, 3427474, 369126, 209633, 1217823, 376312, 16607987, 425065300, 209643, 121234, 65681, 3778125, 5341465, 387588, 20515939, 223339, 26783793, 425065286, 16621540, 2873679, 5242683, 179883, 5341259, 402070788, 3026369, 167885, 92311, 146621, 33522425, 20515834, 21274655, 16642894, 1414853, 27946796, 19098254, 4083874, 28718074, 22644247, 2313544, 366577, 121257, 19362736, 17075871, 4346391, 5412258, 22644268, 5337338, 27946896, 308780]"
315332865,珍珠美人鱼国语全曲单,"童年回忆系列
七海露亚 宝生波音 洞院莉娜 加琳香莲 夏美可可 加琳诺威尔 织本沙罗 织本星罗","['90后', '怀旧', '治愈', '90后']","[29130796, 29130804, 29130797, 31245130, 29130802, 31245122, 29130801, 31245132, 31245139, 31245121, 31245129, 31245119, 31245127, 31245114, 31245109, 31245117, 31245115, 31245136, 31245123, 31245111, 31245124, 31245125, 31245126, 31245134, 31245135, 31245120, 31245110, 29130800, 31245108, 31245116, 29130803, 31245131, 31245138, 31245113, 29130798, 31245112, 29130799]"
6594649056,通宵宝地 感鹿神器『持续更新』,"凡是过往 皆为序章
感谢你在我将死之时的敷衍
让我能在重生后了无牵挂的活的更好
——————————
@封面来自：噬血狂袭","['流行', '夜晚', '90后', '90后']","[523250334, 405597568, 1842728629, 1456673752, 512774980, 1807799505, 1830686080, 1969320038, 1332762344, 1887139866, 1984488522, 1942734484, 1953856778, 1896178370, 1911907981, 1831860992, 1995071414, 1819738209, 483937795, 1370047789, 1335942780, 1869983814, 1807381939, 1849674035, 1430319727, 1809100933, 412902950, 1847250546, 1371557617, 1406649619, 1811662859, 1455965526, 1479766897, 1391101614, 1817764692, 1382423403, 1376873330, 1325896149, 1435449062, 1456393572, 554241732, 1298455817, 1398663411, 1807537867, 1442508316, 1359356908, 1491221473, 1336856864, 1361988914, 1331819951, 1335580481, 1365393542, 1813843577]"
