888471134,“德芙先生”的日常,答案很长，我准备用一生的时间来回答，你准备要听了吗？,"['欧美', '快乐', '兴奋', '快乐']",[]
8884210584,中文小甜歌：等一场双向奔赴的恋爱,等我们走过这匆匆岁月，熬过人生疾苦，黄昏下我醉在你的怀里，做你可爱的小老太太。,"['华语', '流行', '快乐', '快乐']","[1459232593, 1397679310, 1862309034, 1864604336, 1372552573, 864100958, 1824408437, 1851258433, 1432156509, 1335580481, 1859178836, 1365898499, 1381794108, 1334619329, 1320098098, 1930790961, 1384547520, 1885100923, 1477833047, 1376694790, 1381755293, 1425626819, 1311346560, 1445556953, 1860578400, 1939215517, 484755757, 1997438791, 1385686076, 1823256348, 1454732243]"
2936055531,云顶之奕吃着火锅下着棋突然就三星了,早上起床打开云顶之奕，哇金色，金色，金色金币。启动网易云，哇金色，金色，金色传说！！！！！！,"['游戏', '快乐', '电子', '快乐']","[1952112969, 1470902634, 1300721686, 1310022241, 1386002493, 1308430455, 1850718535, 416700305, 549941993, 1476254384, 1342155356, 433018366, 1307789419, 1380277744, 413812611, 485964978, 1353354266, 1473552803, 1450791349, 549800502, 31460434, 482246882, 1306497271, 17559974, 1338149101, 1322215678, 35416283, 425280623, 1372970873, 28798439, 1334780738, 26259818, 499384441, 31010566, 399366190, 31789010, 421148673, 1355147933, 439121233, 1301572562, 545655045, 1314777725, 444524688, 1311826926, 1319604862]"
8087347162,元气满满的甜妹歌单,打工人自用,"['放松', '快乐', '校园', '快乐']","[2079575708, 1859584038, 2090012595, 2075591804, 2085776151, 1838182645, 36872361, 2080861627, 2008014955, 2045124188, 531786301, 804270, 1958493948, 1854231422, 1960656442, 3026583, 534066224, 2004845409, 1856722728, 509728841, 1908670475, 2042072949, 1323304363, 2008987398, 1928175113, 22200079, 1379663217, 1462201604, 1812156049, 1818031620, 1942576027, 26902923, 2025227743, 2041531532, 1982626678, 1425626819, 1949073459, 809268, 1459343252, 1969519579, 1845426540, 1448611801, 1819857342, 555959, 449254451, 1903509018, 1494813207, 1444606082, 418708385, 1875941511, 2701514, 509106775, 1336153991, 1919112094, 1344353923, 1972018590, 427419509]"
5185932932,希望能遇见我的true love.,天有道 自不会让有情人分离.,"['快乐', '快乐']","[399353366, 2078368379, 1994328481, 2088787257, 2019573475, 1313412846, 2029895485, 2009552690, 1411571756, 1893540597, 1996330567, 2066654616, 1907312282, 1968781756, 2053420961, 464674405, 65536, 1851695524, 2050436351, 1397345903, 1924245718, 1830744223, 1916510281, 1346093140, 1931994283, 1417558367, 2022116424, 1830734142, 1831460113, 1417356143, 1831768849, 1491221473, 453413861, 1444647610, 1442508316, 1930968855, 153784, 25640799, 2002523967, 1831805108, 1413142894, 1426112587, 1394963332, 1981326725, 1873374934, 1831417527, 2008033310, 1994245092, 1473483750, 445154140, 1332647902, 2011948361, 432698302, 1926660829, 1400453707, 448144321, 1971190557, 26550057, 1999265908, 1477074247, 1995792135, 156820, 2006448864, 29534637, 1995489221, 1942734484, 1410612655, 1956038048, 1925113937, 2001377147, 1938019498, 255589, 1987551415, 1971107237, 1966161925, 481632977, 1980072986, 1956573905, 1424220262, 1931410909, 1955222734, 1852509743, 468775637, 1830744855, 518682659, 1830735525, 1876498532, 86030, 1831425946, 65800, 1951004870, 1829058639, 1372060183, 1831467365, 1426959223, 1443997393, 32701152, 1891911443, 1382985712, 1948007389, 1953696921, 1467090928, 1804614734, 1346104327, 28403111, 1385856956, 1350981811, 1976331965, 1953873776, 1978036723, 1398305777, 1438805880, 1942041775, 1830735838, 1830743890, 1908626981, 1831803015, 1376166020, 464674406, 1370047789, 1813278477, 1367452194, 1831810728, 1425814935, 1423724914, 1399705991, 1359356908, 461858648, 1493083969, 1400184355, 1855173956, 502043537, 1906253372, 1439453357, 449577226, 399353368, 1831776390, 567999629, 1489064589, 212233, 1325896149, 553755659, 281257, 29759733, 1870384321, 1392759566, 492423254, 467952048, 1404996697, 1806742868, 28059417, 501595653, 65778, 1820129657, 1817431690, 115162, 441491828, 1806336043, 1457387932, 65533, 466089039, 1808492017, 108673, 1812225658, 1438463998, 1339648907, 523251474, 1438805875, 1377574592, 1438434888, 465921195, 1386685831, 157143, 865021614, 1448798283, 1357774626, 1372001881, 1365032837, 1331618583, 93860, 1433904168, 1424447646, 1428834285, 1431393883, 1399319508, 27906446, 1392759921, 1438447607, 1438463575, 1392729979, 1407595836, 1404887423, 1332971476, 1416028934, 1458595588, 399354373, 1423724496, 1304138062, 1405219109, 1334014549, 1439355918]"
70850970,印能法师：空行大悲,,"['安静', '放松', '快乐', '快乐']","[1823377519, 28748253, 185576, 1822978191, 28828170, 1823378328, 1387178765, 1822983700, 1382596140, 185569, 28828168, 28748256, 28828169, 1822976517, 1823377522, 1382592642, 1387178766, 1387157501, 185565, 1382596143, 1822978190, 1822978376, 1387157474, 28748260, 1823378329, 28828171, 1823378332, 1823378338, 1822978187, 1823377518, 472925946, 472945058, 1823377521, 1382592627, 1382592644, 472929001, 1382592653, 185568, 1382592641, 1823377520, 1387178754, 185577, 1382596133, 28748252, 28748254, 1423275574, 1823378333, 1387178764, 185572, 1387179685, 185575, 28748257, 185567, 28748264, 185571, 1823378335, 28828162, 185570, 1818032761, 1822978377, 1822978380, 1387157495, 28748262, 28748263, 28828166, 1387157496, 1387152952, 1387152949, 1387152948, 1822983718, 1822978185, 28748261, 28748258, 28748259, 28748255, 185566, 1387178767, 1382592648, 185573, 185574, 1823378326, 28828163, 1822976521, 1822978188, 1822976524, 28828165, 1387152953, 1464149075, 1464149052, 1464147378, 1464147340, 1464147330, 1464149036, 1464147456]"
2993015219,「欧美」听了这些歌，我就是街上最酷的崽,"本来生活太沉闷
但跑起来就有风
上了生活的贼船
那以后一定要做一个快乐的海盗","['欧美', '流行', '快乐', '快乐']","[1454838033, 1455974357, 1409157146, 1364343491, 1390313374, 1366748552, 1390503103, 1388811867, 1388608426, 515223490, 28461895, 1383011640, 1315696918, 483024211, 4433364, 1365843312, 1388966395, 35845278, 541687309, 1372851726, 1351832505, 1294817400, 411921855]"
2915111119,拯救坏情绪：一键开启愉悦模式,"别在窝在家里丧了！
虽然现在入秋了，但是夏天还没有走呢，天气还是很充满活力很炎热呢↖(^ω^)↗
美好时光，别浪费啦！

带上音乐♪.带上朋友↖(^ω^)↗带上你的小狗，
我们可以去游乐园，从早玩到晚，摩天轮.旋转木马.海盗船全都要尝试一下。
我们可以去海边，跳入清凉的海水里，拥抱白色的浪花，眺望远方自由飞翔的海鸥。
我们可以趴在沙滩上，感受太阳公公的温暖，在沙滩上打排球，渴时喝一杯清凉的果汁。
我们可以沿着海岸线骑行，看着橘红色太阳西落。
夜晚时躺在天台上，数天上的一闪一闪的星星，它们到底有多少颗呢？啊哈哈

要是你在继续保持坏情绪，这些都体验不到了呢，所以快快让自己开心些吧。
别让好时光从手上溜走啦。","['欧美', '快乐', '清新', '快乐']","[5406749, 22652434, 2921896, 1807863, 509726835, 2415497, 31134279, 2313998, 2311279, 21803920, 19150938, 29897072, 26065158, 16837502, 17706499, 18548960, 1068393, 1066331, 1597394, 29728420, 16972404, 17245079, 20705824, 2178067, 2872438, 545755484, 17429700, 1345002, 16467367, 1064974, 420500305, 25780480, 19521124, 26620880, 28590208, 5406745, 27566253, 29498914, 29719592, 497463179, 27514238, 3026455, 19830033, 5096294, 21317959, 33071205, 28048103, 2587223, 1354657248, 419485278, 497745707, 29583919, 2786189, 2587251, 34516921, 27836676, 3027485, 4193079, 1066274, 509726833, 515223494, 1305033001, 509728841, 28468756, 509612912, 25714146, 432780819, 31301088, 33337002, 4433364, 4279440, 1372573566, 27808359, 18611501, 32341397, 433681266, 28593339, 17081026, 414118662, 433018417, 18836957, 26852306, 2922542]"
4894609808,那些听着就让人开心的歌,赶走丧，，世界上哪有那么多不值得。,"['快乐', '兴奋', '放松', '快乐']","[93562, 1956786563, 28854233, 289145, 2083989412, 65515, 28798513, 29850050, 2021437775, 141290, 1437166397, 29758474, 125684, 306940, 359106, 29393539, 2065586935, 144509, 1899624189, 289232, 25780159, 35691625, 308755, 119250, 1475301090, 28409805, 25642111, 26304073, 27901669, 156418, 287251, 255448, 238838, 452601948, 1897935987, 289064, 2008994204, 1435531974, 1370871520, 1375468479, 1467957338, 1376647672, 4878152, 368825, 254141, 25657407, 385973, 1324880066, 1954738558, 18638050, 33367297, 139703, 223873, 526904293, 308438, 28160045, 27501817, 287853, 376593, 150617, 28590423, 156143, 362961, 28182128, 26127551, 306672, 139889, 16495634, 189012, 5315338, 38391339, 449577712, 185981, 290544, 255859, 349260, 26947355, 209730, 1912898594, 212756, 1915249208, 1909604321, 86365, 550136125, 531786027, 436016526, 344406, 1859899373, 1857630559, 4878033, 139371, 357330, 357253, 357284, 228739, 1323304981, 864647456, 1462875618, 1472371887, 493285090, 1843030720, 209643, 569214252, 167946, 1340637650, 1343068722, 1839001238, 1457320735, 5087890, 256504, 247796, 399340494, 29378963, 308212, 308372, 81801, 1317308643, 306577, 60008, 276898, 357511, 481538270, 444444053, 28884097, 4473779, 28959201, 25638898, 436487060, 230266, 40188073, 1807825477, 476987525, 1471592, 447281301, 3545717, 64497, 299521, 399353833, 25713011, 27799001, 31877564, 209813, 363214, 5283998, 624231, 28152182, 1485600293, 487587955, 5248043, 1432491214, 1483891472, 423118696, 29482951, 185769, 27946216, 34324641, 438462858, 1407223100, 497918887, 1471026229, 1471057078, 400075146, 26598755, 230566, 230466, 26136982, 186053, 255184, 119672, 208951, 28665339, 1296558091, 1381578446, 32358362, 1347873260, 427596007, 1399802651, 571545156, 3406393, 3949384, 25699035, 1412478063, 28095617, 417859619, 1446235247, 525251275, 68142, 165340, 390890, 471763632, 311014, 4051656, 1301061820, 1357856747, 156219, 27646786, 31209343, 1345529215, 284982, 29819850, 1294924781]"
5200502509,爱听的维吾尔语歌曲,最喜欢的 最特爱听的歌曲 歌曲里能看自己的世界,"['清新', '快乐', '兴奋', '快乐']","[2106481673, 1343630254, 2072562543, 2101517522, 1421289711, 538883755, 2073039541, 1389704480, 1413612053, 2080625350, 1407080408, 2067231437, 1410833098, 1899202190, 2045856544, 1352430536, 2040008221, 1393992517, 1804896879, 36586914, 1495194234, 2037855470, 1400259595, 545712526, 1472794688, 2017033019, 1856019624, 2030296585, 2008746306, 1965537576, 2028500065, 2031835136, 1398084972, 1992798057, 2017028625, 1433272107, 463159948, 1479729375, 1912012766, 1448023395, 515482526, 1864638464, 1996740889, 1424994199, 1450464206, 1982899790, 1998971176, 1469413702, 534667221, 1446119292, 1497636389, 1907131631, 1953334681, 1975972025, 1450621552, 1893138818, 1986538904, 1354439934, 1959892569, 1943738741, 1391408252, 526464442, 1986032269, 1425882770, 1920209264, 1422768951, 1468316259, 1885146687, 1388172336, 17263308, 1970905696, 1436099140, 1444186707, 437856812, 1836994880, 30871501, 1919796596, 549754777, 41462943, 1353598688, 1313672973, 1831807256, 1860890694, 1944487856, 1928456972, 472152611, 1406612678, 26581121, 1851893465, 1825071114, 1423232357, 1349708836, 1419293371, 1863123720, 61985, 1416767256, 1872965936, 1417684896, 1480886014, 1355095694, 1920497009, 1471418670, 1301810106, 1339397952, 1811896504, 1360042261, 29748167, 410714553, 1472388565, 425137084, 1332660164, 1390098485, 454435058, 436675501, 866218284, 1306887189, 1381169704, 1399961724, 1447055939, 559787346, 1869757854, 1426919915, 1895992201, 1471683887, 1871823030, 1468591002, 1431409601, 1405422161, 423058187, 1808724730, 1363240144, 1334170233, 1420219801, 420401173, 1860558785, 33035920, 1859480492, 1410192318, 1302633409, 1816801950, 1316498184, 418279684, 1310083359, 460323134, 515831907, 1498752231, 1305366539, 1297104610, 464647040, 1804622383, 1411780714, 1497106405, 36895613, 1470189918, 1443064361, 1461198703, 560298673, 1475165900, 1431403839, 1425069401, 564493634, 36895611, 405253960, 1369205428, 438904573, 37091092, 31081057, 446875114, 1820502436, 1411774791, 1825214424, 556949777, 416388079, 541572346, 1309737602, 1483476474, 1493309700, 1467501749, 1469729122, 29777858, 555181253, 518771059, 1409633021, 1468259237, 572950523, 1380591281, 1385896512, 1455463630, 572509526, 500374416, 570020104, 522829541, 467953063, 61974, 1374017300, 1318042345, 1413335916, 442009087, 1466578841, 1452798124, 1356972584, 36150596, 27901209, 484311378, 1382129492, 1382006965, 1373153924, 484311380, 532286561, 484314362, 469699615, 1449255269, 1362214740]"
2088938938,【网络流行】那些好听的中文歌曲,好的歌曲总是会在不经意间听到，对的人往往会在不经意间遇到。珍惜眼前，我们会发现自己其实拥有很多。,"['华语', '流行', '快乐', '快乐']","[484314530, 1930790961, 1968053454, 306877, 326990, 1908392914, 1390071242, 1389090775, 488249475, 1848190450, 1867217766, 35440198, 1807901896, 1847975477, 1837557715, 1497588709, 445665094, 1377748865, 429460399, 527487535, 1443838552, 1428211873, 407450223, 1461647979, 1385110734, 28773451, 165376, 543798652, 167717, 174941, 1352544631, 1436709403, 1363343839, 165405, 167903, 1390520625, 1417120347, 1405283464, 1394847947, 1398663411, 26609880, 1336789644, 1331819951, 28892385, 32450986, 174963, 1380646702, 1396568325, 175072, 440355690, 1365898499, 1372552573, 1378898254, 354352, 1345872140, 548556308, 450041375, 1358276018, 26609879, 534542079, 1345848098, 497400537, 409650851, 1316256535, 571338279, 541687281, 1313354324, 28341146, 33190007, 1299550532, 26600601, 1338695683, 489768079, 165373, 167827, 208902, 504835560, 507940142, 1302694445, 452986458, 28875230, 563069979, 254309, 443194017, 537470060, 30987293, 492318771, 554191055, 28285910, 557581284, 550059604, 174956, 27646687, 108478, 165361, 224000, 531295576, 501755851]"
7547879555,动感欧美|蹦迪路上怎么能没有bgm,蹦迪的时候，世界都是你的。,"['欧美', '酒吧', '快乐', '快乐']","[2067644872, 2035379949, 475072054, 1923903671, 5067896, 34766855, 408277809, 29807644, 410801514, 28308239, 27929366, 408332721, 35956778, 36307709, 26400569, 445845810, 29401321, 34892202, 32405900, 34532261, 404184362, 31917671, 34341119, 456381013, 419594479, 403012409, 405612166, 29816869, 407889385]"
8860459875,vocal老弟魔怔了吧/旋律,伤感小曲 /DJ /杂 爱听怎么你了,"['兴奋', '快乐', '快乐']","[2044918030, 1957047667, 34586275, 1987851778, 2030890480, 1956838147, 2007861279, 1996351693, 2075580479, 2072672438, 2077519215, 2068762643, 2013160169, 1995759563, 2071951484, 2063805232, 2062211975, 2066465473, 2063806187, 2063609611, 2067102103, 2047795601, 2042397885, 1853486305, 2043603498, 2049029417, 2071079349, 2062929520, 543943676, 1899425530, 2019302186, 2047180836, 2013160139, 2066806777, 2004450895, 2069683506, 1979429453, 1971126706, 2040551284, 2062929307, 2042022900, 1914852458, 1977560645, 2050047648, 2012750912, 1932394804, 1806183952, 1937981747, 2008728241, 2022644119, 2037369990, 2001866058, 1911713079, 2023314288, 2033472762, 2000660864, 1996830185, 2032030148, 1848802862, 2012751050, 1883965911, 2032376525, 1960395847, 2009172285, 2011458409, 2017844248, 1852665097, 2037779623, 2034843472, 2004453626, 2043296908, 1894884040, 1915372894, 1888304014, 1930480128, 1937786145, 1869031258, 1987023757, 2031679054, 2000738824, 1830736613, 2024999251, 1892409985, 2006161489, 1982666893, 1451645136, 484447473, 2019671219, 2028571351, 2017766771, 2039781793, 1947536448, 2019071841, 2031684961, 2019179880, 1874121853, 1959471872, 1994777343, 1927984149, 1901458286, 2028570618, 2036791477, 2043411570, 17075871, 2092752328, 2084617490, 2077816600, 2024109979, 2075412876, 2073842233, 2073841204, 2082561145, 2051349675, 2088708912, 1408798068, 2044685016, 2073427239, 2080560318, 2082496474, 2083461702, 2077280756, 2076147288, 1996925589, 2075259329, 2042022213, 2065906566, 2056462857, 1957857252, 2064065291, 2020250905, 2033555990, 2009893836, 2073221584, 2078969201, 2071485652, 2071717769, 2075984408, 2060340597, 2067064890, 2027640152, 2064801987, 2037861921, 2083482995, 2078573389, 2083483873, 2088288271, 2073023781, 2070660736, 2090807630, 2047181245, 2069555817, 2093070724, 2093146046, 2087186400, 2063019782, 1959901735, 1995052279, 1990204536, 1956843483, 1957830498, 1908448804, 2079916450, 2000726439, 2066758240, 2079245744, 2084952250, 2069579567, 2042594225, 2075483239, 2082660360, 2023787297, 2075705990, 2071968153, 2063116290, 2063010382, 2059758051, 2060576820, 2062084809, 2058443272, 2039013118, 2037944051, 2077078350, 2036153860, 2042945992, 2044456040, 1993217307, 1976115224, 2031431554, 2047688588, 2020066150, 2076888863, 2069125145, 2066979476, 2072401082, 2061649222, 2062203499, 2060161261, 2063529721, 2073019435, 1994776969, 2005705972, 2031796212, 2010507299, 1898772642, 2054365065, 2053634610, 1971907992, 2071419290, 2073433240, 2025778808, 2063517932, 2068633237, 1931647542, 1991801101, 1975282593, 2002993828, 1945206951, 1969651986, 1944802405, 2051630296, 2011364250, 2012172879, 2016500441, 2041311610, 2033406545, 2026043794, 2008789204, 1952538608, 1952543551, 1989593897, 2004007990, 1960136292, 2004978113, 2008006412, 2000179232, 2015047009]"
951743224,Vicetone推荐：宅家派对歌曲,"本歌单是由Vicetone为大家精心挑选的宅家派对歌单，希望你们喜欢。

Vicetone是荷兰的DJ双人组，由Ruben den Boer（出生于1992年1月22日）和Victor Pool（出生于1992年7月9日）组成。
2012年正式出道，与Monstercat签约，得到与Collin McLoughlin合作机会推出单曲《Heartbeat》一炮而红。2013年首次入榜DJ Mag百大DJ，排名第60，此后成为DJ Mag百大DJ常客。
从出道开始发布了多首热门单曲，其中最受欢迎的几首有《Astronomia》《Walk Thru Fire》《Nevada》等。其中的《Astronomia》就是最近较火的“抬馆视频”的原版BGM。","['欧美', '电子', '快乐', '快乐']","[2090737128, 2077871462, 2059134447, 2035357559, 2019720090, 1984735591, 1972543189, 1952438033, 1931452126, 1816405503, 1486924487, 1447669965, 1429572305, 418602088, 1346473067, 1388960573, 430114655, 27588384, 543987451, 1297498908, 1420914993, 1339221426, 26912133, 33166857, 1415002309, 1364530152, 1316562828, 1315696918, 1320858202, 1426246589, 1346474112, 493551046, 1367321787, 485347980, 1356339308, 409031782, 1400133220]"
8808723170,车载 DJ中文【双手插兜什么叫做对手】,"即使没有人为你鼓掌，
也要优雅的谢幕，
感谢自己的认真付出。
歌单制作:ZMR-张小瑞
主页相关歌单
车载DJ中文【油门踩碎准备起飞]超燃DJ精选
车载DJ中文【不怕新歌没人追|就怕老歌带dj]
车载DJ古风【听曲听到醉|荣华又富贵]","['华语', '驾车', '快乐', '快乐']","[2080932793, 2085193375, 2083833960, 2084456828, 2085679255, 1943932789, 1931526844, 1939427593, 1968077344, 1959410297, 1834268297, 2076482499, 2029902719, 2015499286, 1851100365, 1928002636, 1996896352, 2056811636, 2074795946, 1883577809, 2077877616, 2077766437, 2068820692, 2068401018, 1925165865, 2075070657, 2070261075, 2058688293, 2003880472, 2066628581, 1489305482, 2032868525, 2019707871, 2048921731, 2063793297, 2038224899, 2064458728, 2052092037, 2068333873, 1369285767, 1358529711, 2064299084, 1997538837, 2030342719, 1980110427, 1956927131, 1984256128, 1969626268, 1955377137, 1996896328, 1864515206, 2002976398, 2043611809, 2058862781, 1998665422, 2028617671, 1804577608, 2041229306, 2051579716, 2031728372, 1902419038, 1449559488, 1468192636, 1874139291, 1904128480, 453268514, 2025091391, 2006975597, 2017411756, 1939837729, 2010344872, 1899177184, 1943195333, 1856778986, 1949637372, 1490868343, 1869998804, 1967827482, 1431373368, 1970076801, 1977421269, 1821263664, 1927192521, 1829058874, 1988069031, 1911310506, 1964133312, 1819195147, 1854553480, 1864698492, 1831419729, 1959403630, 1830735856, 1831400693, 1824061484, 1830743971, 1919913389, 1876425576, 1391281655, 1830729986, 1926577750, 1933614856, 1931519386, 1927253211, 1930863429, 1853733460, 1931023704, 1848528240, 1847446072, 1855739286, 1877060483, 1831768719, 1852742951, 1910811609, 1822685843, 1829062247, 1814654745, 1480391033, 1914419086, 1854690626, 1823015837, 1893308058, 1825970981, 27896148, 1894933073, 1892377726, 1886384894, 1870096729, 1827002161, 1822756974, 1807538562, 1821514172, 1854941115, 1814121588, 1814372181, 1813404221, 1813405052, 1856728513, 451113488, 1437976171, 1437859922, 1808475040, 1451699240, 1812239209, 1808475168, 1816838227, 1831409174, 1808466549, 1859128784, 1490011907, 1821375010, 1830741338, 1844313248, 1828350556, 1377530437, 1836114738, 1807549506, 1815741572, 1479515599, 1826163253, 1381134838, 1822749739, 1449560607, 1449559492, 1805543348, 1811132941, 1814798370, 1820611924, 1425924254, 1498522590, 1482399909, 1823331300, 1808232212, 1808232302, 1817762859, 1807425133, 1493970174, 1498342267, 1807550736, 1493944539, 1492934552, 1480374787, 1424258741, 1335244546, 1394009806, 1500760925, 1498623045, 1397135224, 1395189310, 1479523848, 1481657185, 1396953490, 1444233119, 1473562171, 1471064193, 1443845605, 1444852955, 1320570892, 1433406715, 1385757429, 41500234, 1335392711, 1395620939, 1394183507, 1386669632, 1353745355, 1337592976, 1340128424, 444444582, 41651260, 1387119280, 1335256229, 1399156635, 1399869580, 1432784065, 1314510530, 1316884028, 1335230437, 1319261208, 1359156131, 1398622352, 1357210157, 1319393311, 1321661860, 1347243775, 1340992499, 1396568322, 1386079347, 1378336559, 1401909362, 1446791775, 1451141290, 464377947, 1397513334, 1310413658, 1315064029, 459068807, 1305367918, 1339736974, 1371056767, 462516598, 471969786, 1313725541, 1386946646, 1401467851, 1399837876, 1427775641, 1385408332, 1411773482, 1428759692, 1399706341, 1417684813, 1392761849, 1399706234, 1415444377, 1410635261, 1449559587, 1433471365, 1429962860, 1368327788, 1401113891, 532156099, 1443178157, 1393638594, 1407813608, 1351620974, 1367280230, 1365401062, 1368327803, 1398467990]"
7402772119,假日限定 | 想把生活变成百分百全糖加冰,"╭══╮╭═══════╮
╭╯让路 ║ 开启了假期模式！
╰⊙ ═ ⊙╯╰═⊙═⊙══⊙╯

祝大家都有个美好的五一假期❀","['清新', '放松', '快乐', '快乐']","[1940770243, 1940109458, 1939940027, 1941278796, 1939401795, 1937096193, 1938019211, 1471795341, 1939175430, 1940334604, 1396023850, 1474195488, 1854638988, 1932899735, 402073803, 284793, 1877996649, 1937105581, 1838531847, 1438463386, 209917, 1888173731, 1871503420, 209271, 93465, 357424, 472141619, 1398899125, 453927774, 1807799506, 1402887724, 28481104, 1891835283, 1873049720, 442869204, 1468749698, 1418131335, 1331463763, 1828271111, 452614957, 1813831223, 301422, 1406062963, 1842503647, 1806516962, 5286124, 1451632464]"
2514836260,爱一条小团团OvO,团粉一枚，承蒙厚爱，不胜荣幸！,"['兴奋', '快乐', '游戏', '快乐']","[2079172364, 1980856355, 1486672308, 1981082284, 2066654616, 2042403498, 2051890435, 1928397447, 1930296522, 2069715714, 2041974276, 1994253743, 1988564487, 566436427, 1959667345, 1480274234, 1964443044, 5248060, 1474861444, 1922888354, 524148990, 1492584510, 405253317, 1448065436, 1308782023, 139893, 1909604321, 453927759, 1875941511, 4877408, 1460572578, 355989, 25638923, 1859245776, 5100462, 1396347452, 1895834413, 27756753, 441491828, 1430319727, 488249475, 1406649619, 1873049720, 488641895, 1429237296, 69827, 1411718813, 26341097, 1600454, 4164331, 447280709, 1301062404, 421423756, 425828896, 1297742167, 480426313, 409647737, 1461184052, 1472945318, 34324641, 139688, 1461142410, 185726, 190072, 386538, 68099, 454828893, 186724, 139848, 139889, 139851, 1840694022, 1832088781, 506092654, 1404884182, 25714332, 1452439191, 5257056, 5254811, 519136840, 350909, 558071673, 85571, 33419432, 5232561, 418990013, 1384026889]"
816537952,「童谣」谣啊谣，谣到外婆桥,"女孩将美丽的裙子装进衣橱，
男孩们将骑士宝剑压进箱底。
爱丽丝将兔子放归田野，
公主将水晶鞋藏进床底，
我们把美好放进童谣里。
童谣是一种生活态度，仅此而已。","['欧美', '快乐', '放松', '快乐']","[3366455, 427463486, 4024813, 17630597, 20330673, 31053197, 3306970, 3551702, 5179995, 19474300, 22509038, 1141568, 3916583, 17630567, 31053184, 29561089, 2533578, 3551829, 21224495, 2533629, 2866921, 518088876, 1791490, 28707963, 2533555, 20330702, 21224493, 28707964, 2871724, 20330693, 4025272, 21935131, 4025325, 21935138, 2925124, 21935132, 4025284, 3551822, 5166466, 28707949, 2866944, 2871732]"
3133272003,恭贺新年｜2023｜都是超市商场热门新年歌曲,"新年，即一年的第一天，为世界多数国家通行的节日。世界各国，特别是古代都有不同的日期，现代世界多数国家为公元制纪年的1月1日。现代将“元旦”称为公历新年，将“春节”称为农历新年。当日，人们会以各种不同的方式庆祝新年的到来。
新年歌曲还是这些听了有年味，这些都是从小听到打的新年歌曲，都是慢慢的回忆，喜欢的收藏起来吧！","['华语', '怀旧', '快乐', '快乐']","[2001058183, 2001223726, 2001223727, 2001222836, 5281399, 5242321, 1326485393, 5242323, 1886650665, 1886650008, 1844417153, 5275165, 1852664813, 335686, 337335, 5242322, 396696, 26467036, 5242324, 26467039, 260743, 5242325, 139274, 5242326, 5242319, 5242320, 33343400, 32695305, 26467042, 378115, 35470997, 1418381422, 1418381423, 466003313, 5281403, 139280, 26467034, 26467045, 395157, 26467035, 139287, 5275133, 211954, 26467048, 236050, 261135, 26467028, 139277, 32695306, 26467040, 296701, 26467046, 378112, 260727, 139264, 5281400, 534067514, 388067, 333750, 172227, 139270, 26467029, 35497004, 26467031, 317609, 317593, 317596, 60008, 25889173, 77703, 36953934, 35497015, 236052, 236047, 139261, 139263, 236049, 236053, 32695316, 35470999, 35497003, 26467030, 35471000, 139283, 35497001, 260739, 5237177, 260747, 5237178, 261146, 395153, 261131, 395163, 261144, 5237179, 261127, 395155, 261141, 236041, 261142, 236043, 317605, 139273, 317630, 5237176, 35497006, 261145, 35497009, 236056, 261140, 35497008, 5237181, 236054, 211958, 139257, 139259, 317625, 296694, 206491, 317635, 5237180, 317643, 237525, 236063, 271508, 206493, 35470995, 317639, 35470996, 211949, 206506, 5237173, 35497010, 35497012, 211964, 236058, 211967, 206499, 260735, 261129, 271505, 296693, 271507, 260737, 296696, 32695317, 5237174, 5272494, 206495, 296686, 296690, 260741, 35497002, 296688, 5232487, 261137, 211973, 261139, 5232486, 211953, 310615, 35497013, 35497014, 271511, 271500, 139275, 395159, 139276, 395161, 271501, 139285, 271502, 296700, 271504, 296699, 35470998, 35497005, 296692, 260746, 296698, 271503, 237529, 296684, 378118, 5232489, 32695315, 317613, 260748, 395177, 395179, 236039, 236045, 5237175, 260729, 260730, 5272495, 237527, 260732, 260745, 317617, 317621, 139266, 211946, 32695314, 211956, 271506, 35497016, 32695304, 32695310, 35497007, 32695311, 32695318, 5272490, 5272493, 211961, 211970, 5272496, 206501, 5272497, 206508, 236033, 395171, 395174, 236035, 32695309, 236037, 206503, 261123, 261125, 32695307, 206510, 395167, 206497, 395169, 206490, 5237182, 237531]"
5325067510,开车必哦呐呐呐,remix满是激情,"['驾车', '电子', '快乐', '快乐']","[2005311941, 1372471346, 2050142839, 30854948, 1380150032, 1356511474, 1480598170, 1890128737, 1862975508, 2039106006, 2002392134, 1981056465, 2038450805, 1438392557, 1905515047, 1396365414, 1391251513, 501862714, 1988586766, 1384667252, 2047985543, 1963132367, 1473966737, 1862507836, 1478347801, 502602283, 1811300525, 1890011744, 1500151383, 18672764, 29019227, 1501587268, 1975811775, 29758353, 1331800077, 1826178959, 1910038853, 1810264325, 1366879413, 1446218812, 35513027, 1304347114, 1396304601, 1381706037, 1376075781, 1369658060, 1833827792, 1830753386, 444269601, 1831812154, 1854367622]"
